,ID,E_Brent,Opt_Basica,PP,BR,AR,WO,NW,opt_CE,opt_CN,opt_CS,opt_IC,opt_IN,opt_IS,BE_F,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE
0,0,40,0,0.555,1,0,1,1,1,1,1,1,1,1,26.851965565589275,0,120433.7171,0,0,0,9.561182752853816e-11,258069.7285,0,154085.4649,0.0,10.668112951775,10.668112951775
1,1,40,0,0.555,1,0,1,1,1,1,1,1,1,0,26.618870435750747,0,102698.5937,0,0,0,2.951786870824676e-10,215956.7757,0,128203.6517,0.0,9.182572942237503,9.182572942237503
2,2,40,0,0.555,1,0,1,1,1,1,1,1,0,1,26.970234598442502,0,105483.2057,0,0,0,0.0,225938.1415,0,142426.8063,0.0,9.435931761750002,9.435931761750002
3,3,40,0,0.555,1,0,1,1,1,1,1,1,0,0,26.766531382046214,0,87683.0018,0,0,0,6.369040654824556e-10,183825.1887,0,116544.9931,0.0,7.815122464775001,7.815122464775001
4,4,40,0,0.555,1,0,1,1,1,1,1,0,1,1,26.697765671003243,0,107937.0189,0,0,0,1.2837078883224356e-10,230445.8376,0,131566.9499,0.0,9.561956294400003,9.561956294400003
5,5,40,0,0.555,1,0,1,1,1,1,1,0,1,0,26.437903444102453,0,90150.1476,0,0,0,0.0,188332.8848,0,105685.1367,0.0,7.9221918858625,7.9221918858625
6,6,40,0,0.555,1,0,1,1,1,1,1,0,0,1,26.846797995560934,0,92837.7219,0,0,0,5.859747731091402e-10,198314.2507,0,119908.2913,0.0,8.189437896875,8.189437896875
7,7,40,0,0.555,1,0,1,1,1,1,1,0,0,0,26.551434355791727,0,74975.6401,0,0,0,0.0,156201.2979,0,94026.4781,0.0,6.671300362400001,6.671300362400001
8,8,40,0,0.555,1,0,1,1,1,1,0,1,1,1,26.835763455328042,0,87782.0714,0,0,0,6.34751215599445e-10,188548.8508,0,111815.7309,0.0,7.873787524325003,7.873787524325003
9,9,40,0,0.555,1,0,1,1,1,1,0,1,1,0,26.55156784740416,0,69989.195,0,0,0,0.0,146435.898,0,85933.9177,0.0,6.234023115787501,6.234023115787501
10,10,40,0,0.555,1,0,1,1,1,1,0,1,0,1,27.05078421234695,0,72731.2137,0,0,0,4.523370917131092e-10,156417.2638,0,100157.0723,0.0,6.527827553362501,6.527827553362501
11,11,40,0,0.555,1,0,1,1,1,1,0,1,0,0,26.769501882015835,0,54836.2348,0,0,0,0.0,114304.311,0,74275.2591,0.0,4.9070182563874996,4.9070182563874996
12,12,40,0,0.555,1,0,1,1,1,1,0,0,1,1,26.663658374532567,0,75177.4209,0,0,0,6.187117119547462e-10,160924.9599,0,89297.2159,0.0,6.613406467949999,6.613406467949999
13,13,40,0,0.555,1,0,1,1,1,1,0,0,1,0,26.257415268148495,0,57346.3194,0,0,0,0.0,118812.0071,0,63415.4027,0.0,4.9736420594125,4.9736420594125
14,14,40,0,0.555,1,0,1,1,1,1,0,0,0,1,26.860409851832795,0,60007.2982,0,0,0,5.326142031138564e-10,128793.373,0,77638.5573,0.0,5.3625149444875,5.3625149444875
15,15,40,0,0.555,1,0,1,1,1,1,0,0,0,0,26.402544391024655,0,42169.6575,0,0,0,0.0,86680.4202,0,51756.7441,0.0,3.72275053595,3.72275053595
16,16,40,0,0.555,1,0,1,1,1,0,1,1,1,1,26.774923706886607,0,98281.5929,0,0,0,8.323254040768386e-11,208924.431,0,125972.7443,0.0,8.652360586262503,8.652360586262503
17,17,40,0,0.555,1,0,1,1,1,0,1,1,1,0,26.50756572087362,0,80446.6931,0,0,0,5.966683455564102e-10,166811.4782,0,100090.9311,0.0,7.0315512892875,7.0315512892875
18,18,40,0,0.555,1,0,1,1,1,0,1,1,0,1,26.92034671203567,0,83178.7471,0,0,0,0.0,176792.844,0,114314.0857,0.0,7.4201793962375024,7.4201793962375024
19,19,40,0,0.555,1,0,1,1,1,0,1,1,0,0,26.64368327503574,0,65305.9324,0,0,0,0.0,134679.8912,0,88432.2725,0.0,5.799370099262502,5.799370099262502
20,20,40,0,0.555,1,0,1,1,1,0,1,0,1,1,26.61307917557135,0,85694.7332,0,0,0,6.240134043292195e-10,181300.5402,0,103454.2293,0.0,7.4058667213875005,7.4058667213875005
21,21,40,0,0.555,1,0,1,1,1,0,1,0,1,0,26.220425097542176,0,67814.2269,0,0,0,1.3104614155833235e-10,139187.5874,0,77572.4161,0.0,5.8734013947875,5.8734013947875
22,22,40,0,0.555,1,0,1,1,1,0,1,0,0,1,26.75771185603047,0,70546.6836,0,0,0,0.0,149168.9532,0,91795.5707,0.0,6.173685531362501,6.173685531362501
23,23,40,0,0.555,1,0,1,1,1,0,1,0,0,0,26.352386218441765,0,52651.7046,0,0,0,0.0,107056.0004,0,65913.7575,0.0,4.5528762343875,4.5528762343875
24,24,40,0,0.555,1,0,1,1,1,0,0,1,1,1,26.77498123379063,0,65478.3512,0,0,0,0.0,139403.5533,0,83703.0102,0.0,5.744256377874999,5.744256377874999
25,25,40,0,0.555,1,0,1,1,1,0,0,1,1,0,26.30046554677392,0,47635.1487,0,0,0,0.0,97290.6005,0,57821.197,0.0,4.1852326247125005,4.1852326247125005
26,26,40,0,0.555,1,0,1,1,1,0,0,1,0,1,27.02448128576809,0,50366.3635,0,0,0,0.0,107271.9663,0,72044.3516,0.0,4.512075187850001,4.512075187850001
27,27,40,0,0.555,1,0,1,1,1,0,0,1,0,0,26.526393864073,0,32483.0505,0,0,0,4.1307060115340357e-10,65159.0135,0,46162.5384,0.0,2.8912658908750006,2.8912658908750006
28,28,40,0,0.555,1,0,1,1,1,0,0,0,1,1,26.489850495255794,0,52823.3746,0,0,0,0.0,111779.6624,0,61184.4953,0.0,4.564615976875,4.564615976875
29,29,40,0,0.555,1,0,1,1,1,0,0,0,1,0,25.704944366212036,0,34998.8821,0,0,0,3.3204772977519565e-10,69666.7096,0,35302.6821,0.0,2.9248515683375,2.9248515683375
30,30,40,0,0.555,1,0,1,1,1,0,0,0,0,1,26.75867033991348,0,37683.3627,0,0,0,9.520601726275089e-11,79648.0755,0,49525.8367,0.0,3.265581322975,3.265581322975
31,31,40,0,0.555,1,0,1,1,1,0,0,0,0,0,25.597424778123397,0,19815.6113,0,0,0,1.0315470904113564e-09,37535.1227,0,23644.0235,0.0,1.673960044875,1.673960044875
