,ID,E_Brent,PP,BR,AR,WO,NW,opt_C,opt_I,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE,volumen_B_LE_p,volumen_I_LE_p,volumen_T_LE_p,LE_year_p,LE_year_b,lc_p,lc_b,dc_p,dc_b,opex_ing_p,capex_ing_p,impuesto_ing_p,ingreso_ing_p,abandono_ing_p,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b
0,0,20,1,0,1,1,0,1,1,0,91646.1024,0,-17271.3851,-17271.3851,0.0,94775.9959,0,79089.0532,0.0,10.053055126157425,10.053055126157425,0.0,10.990810606069012,10.990810606069012,2052.0,2040.0,4.8522,3.1493,7.9333,8.6734,15208.4771,73216.548,51997.5377,232068.6653,0,13122.9674,73216.548,4636.5388,73704.6691,0
1,1,25,1,0,1,1,0,1,1,0,91646.1024,0,903.1354,903.1354,0.18169058382034736,94775.9959,0,79089.0532,0.0,10.394784170360012,10.394784170360012,0.0,10.990810606069012,10.990810606069012,2052.0,2043.0,4.8522,3.5674,7.9333,8.3882,15208.4771,73216.548,51997.5377,232068.6653,0,13884.626,73216.548,12399.7041,100404.0135,0
2,2,30,1,0,1,1,0,1,1,0,91646.1024,0,19084.3716,19084.3716,0.5382119556358095,94775.9959,0,79089.0532,0.0,10.571786068462991,10.571786068462991,0.0,10.990810606069012,10.990810606069012,2052.0,2045.0,4.8522,3.8497,7.9333,8.2478,15208.4771,73216.548,51997.5377,232068.6653,0,14284.108,73216.548,20321.8931,126906.9208,0
3,3,35,1,0,1,1,0,1,1,0,91646.1024,0,37288.1183,37288.1183,0.8958746905473172,94775.9959,0,79089.0532,0.0,10.718288205163232,10.718288205163232,0.0,10.990810606069012,10.990810606069012,2052.0,2047.0,4.8522,4.1337,7.9333,8.1351,15208.4771,73216.548,51997.5377,232068.6653,0,14613.5679,73216.548,28305.1389,153423.3732,0
4,4,40,1,0,1,1,0,1,1,0,91646.1024,0,55530.8681,55530.8681,1.2542276614197994,94775.9959,0,79089.0532,0.0,10.841137889491446,10.841137889491446,0.0,10.990810606069012,10.990810606069012,2052.0,2049.0,4.8522,4.42,7.9333,8.0429,15208.4771,73216.548,51997.5377,232068.6653,0,14886.098,73216.548,36299.9186,179933.4327,0
5,5,45,1,0,1,1,0,1,1,0,91646.1024,0,73871.9632,73871.9632,1.6130178171703893,94775.9959,0,79089.0532,0.0,10.895093763456863,10.895093763456863,0.0,10.990810606069012,10.990810606069012,2052.0,2050.0,4.8522,4.5635,7.9333,8.003,15208.4771,73216.548,51997.5377,232068.6653,0,15003.8688,73216.548,44228.3623,206320.7424,0
6,6,50,1,0,1,1,0,1,1,0,91646.1024,0,92169.9604,92169.9604,1.9721279103669034,94775.9959,0,79089.0532,0.0,10.990810606069012,10.990810606069012,0.0,10.990810606069012,10.990810606069012,2052.0,2052.0,4.8522,4.8522,7.9333,7.9333,15208.4771,73216.548,51997.5377,232068.6653,0,15208.4771,73216.548,52223.3288,232818.3143,0
7,7,55,1,0,1,1,0,1,1,0,91646.1024,0,110541.3087,110541.3087,2.3314320400682518,94775.9959,0,79089.0532,0.0,11.033246545702674,11.033246545702674,0.0,10.990810606069012,10.990810606069012,2052.0,2053.0,4.8522,4.9968,7.9333,7.9028,15208.4771,73216.548,51997.5377,232068.6653,0,15296.9157,73216.548,60159.151,259213.9234,0
8,8,60,1,0,1,1,0,1,1,0,91646.1024,0,128877.1765,128877.1765,2.690895191088757,94775.9959,0,79089.0532,0.0,11.109056711993038,11.109056711993038,0.0,10.990810606069012,10.990810606069012,2052.0,2055.0,4.8522,5.287,7.9333,7.8489,15208.4771,73216.548,51997.5377,232068.6653,0,15450.3743,73216.548,68142.0967,285686.1956,0
9,9,20,1,0,1,1,0,1,0,0,78640.5356,0,-12469.1961,-12469.1961,0.0,75590.342,0,71702.6502,0.0,8.317658917585101,8.317658917585101,0.0,9.17754997349615,9.17754997349615,2051.0,2039.0,5.0578,3.2298,7.5775,8.3609,13590.5392,58376.5064,43786.6779,194394.259,0,11519.9486,58376.5064,4084.405,61511.6639,0
10,10,25,1,0,1,1,0,1,0,0,78640.5356,0,2688.0797,2688.0797,0.22785040806526105,75590.342,0,71702.6502,0.0,8.635028382027118,8.635028382027118,0.0,9.17754997349615,9.17754997349615,2051.0,2042.0,5.0578,3.6782,7.5775,8.0536,13590.5392,58376.5064,43786.6779,194394.259,0,12276.8201,58376.5064,10613.1436,83954.5498,0
11,11,30,1,0,1,1,0,1,0,0,78640.5356,0,17892.5865,17892.5865,0.6019808956747044,75590.342,0,71702.6502,0.0,8.797628160650142,8.797628160650142,0.0,9.17754997349615,9.17754997349615,2051.0,2044.0,5.0578,3.9811,7.5775,7.9048,13590.5392,58376.5064,43786.6779,194394.259,0,12673.3139,58376.5064,17249.2523,106191.659,0
12,12,35,1,0,1,1,0,1,0,0,78640.5356,0,33124.587,33124.587,0.977495795925584,75590.342,0,71702.6502,0.0,8.931331768268242,8.931331768268242,0.0,9.17754997349615,9.17754997349615,2051.0,2046.0,5.0578,4.2861,7.5775,7.7864,13590.5392,58376.5064,43786.6779,194394.259,0,13000.3411,58376.5064,23938.685,128440.1196,0
13,13,40,1,0,1,1,0,1,0,0,78640.5356,0,48396.5226,48396.5226,1.3538381382739602,75590.342,0,71702.6502,0.0,9.042766979407734,9.042766979407734,0.0,9.17754997349615,9.17754997349615,2051.0,2048.0,5.0578,4.5936,7.5775,7.6905,13590.5392,58376.5064,43786.6779,194394.259,0,13270.8176,58376.5064,30636.4864,150680.333,0
14,14,45,1,0,1,1,0,1,0,0,78640.5356,0,63755.9746,63755.9746,1.730704705485413,75590.342,0,71702.6502,0.0,9.091511965291183,9.091511965291183,0.0,9.17754997349615,9.17754997349615,2051.0,2049.0,5.0578,4.7479,7.5775,7.6492,13590.5392,58376.5064,43786.6779,194394.259,0,13387.7148,58376.5064,37277.374,172797.5698,0
15,15,50,1,0,1,1,0,1,0,0,78640.5356,0,79079.9694,79079.9694,2.1079578711301696,75590.342,0,71702.6502,0.0,9.17754997349615,9.17754997349615,0.0,9.17754997349615,9.17754997349615,2051.0,2051.0,5.0578,5.0578,7.5775,7.5775,13590.5392,58376.5064,43786.6779,194394.259,0,13590.5392,58376.5064,43976.2872,195023.3022,0
16,16,55,1,0,1,1,0,1,0,0,78640.5356,0,94468.4922,94468.4922,2.485450922960883,75590.342,0,71702.6502,0.0,9.215712330025177,9.215712330025177,0.0,9.17754997349615,9.17754997349615,2051.0,2052.0,5.0578,5.2138,7.5775,7.5461,13590.5392,58376.5064,43786.6779,194394.259,0,13678.561,58376.5064,50624.6764,217148.236,0
17,17,60,1,0,1,1,0,1,0,0,78640.5356,0,109827.2937,109827.2937,2.8631255133096767,75590.342,0,71702.6502,0.0,9.283481829916788,9.283481829916788,0.0,9.17754997349615,9.17754997349615,2051.0,2054.0,5.0578,5.5259,7.5775,7.4911,13590.5392,58376.5064,43786.6779,194394.259,0,13830.8787,58376.5064,57313.3844,239348.0632,0
18,18,20,1,0,1,1,0,0,1,0,12994.9866,0,-4738.5457,-4738.5457,0.0,19185.6538,0,11575.3781,0.0,1.7041570014013665,1.7041570014013665,0.0,1.822378549227274,1.822378549227274,2061.0,2045.0,3.6999,2.3737,9.6856,10.3575,1581.7751,14840.0416,8244.5008,37661.3041,0,1439.4694,14840.0416,538.8138,12079.7791,0
19,19,25,1,0,1,1,0,0,1,0,12994.9866,0,-1741.9949,-1741.9949,0.0030173878317197155,19185.6538,0,11575.3781,0.0,1.739679806135697,1.739679806135697,0.0,1.822378549227274,1.822378549227274,2061.0,2048.0,3.6999,2.63,9.6856,10.146,1581.7751,14840.0416,8244.5008,37661.3041,0,1485.7058,14840.0416,1786.7729,16370.5255,0
20,20,30,1,0,1,1,0,0,1,0,12994.9866,0,1209.7751,1209.7751,0.28979233059216236,19185.6538,0,11575.3781,0.0,1.7672507555824883,1.7672507555824883,0.0,1.822378549227274,1.822378549227274,2061.0,2051.0,3.6999,2.8883,9.6856,9.9877,1581.7751,14840.0416,8244.5008,37661.3041,0,1520.3743,14840.0416,3090.7431,20660.9341,0
21,21,35,1,0,1,1,0,0,1,0,12994.9866,0,4165.0627,4165.0627,0.5769389196868905,19185.6538,0,11575.3781,0.0,1.7890827169550425,1.7890827169550425,0.0,1.822378549227274,1.822378549227274,2061.0,2054.0,3.6999,3.1488,9.6856,9.8658,1581.7751,14840.0416,8244.5008,37661.3041,0,1546.4248,14840.0416,4396.7109,24948.24,0
22,22,40,1,0,1,1,0,0,1,0,12994.9866,0,7134.6941,7134.6941,0.8642934930721103,19185.6538,0,11575.3781,0.0,1.8011880857245903,1.8011880857245903,0.0,1.822378549227274,1.822378549227274,2061.0,2056.0,3.6999,3.3234,9.6856,9.7995,1581.7751,14840.0416,8244.5008,37661.3041,0,1560.0805,14840.0416,5691.4213,29226.2375,0
23,23,45,1,0,1,1,0,0,1,0,12994.9866,0,10106.8978,10106.8978,1.1517777803510738,19185.6538,0,11575.3781,0.0,1.811704231946554,1.811704231946554,0.0,1.822378549227274,1.822378549227274,2061.0,2058.0,3.6999,3.4984,9.6856,9.7427,1581.7751,14840.0416,8244.5008,37661.3041,0,1571.3475,14840.0416,6985.4844,33503.7714,0
24,24,50,1,0,1,1,0,0,1,0,12994.9866,0,13079.4107,13079.4107,1.439359384773532,19185.6538,0,11575.3781,0.0,1.822378549227274,1.822378549227274,0.0,1.822378549227274,1.822378549227274,2061.0,2061.0,3.6999,3.6999,9.6856,9.6856,1581.7751,14840.0416,8244.5008,37661.3041,0,1581.7751,14840.0416,8280.6826,37781.91,0
25,25,55,1,0,1,1,0,0,1,0,12994.9866,0,16067.819,16067.819,1.7269724446163564,19185.6538,0,11575.3781,0.0,1.822378549227274,1.822378549227274,0.0,1.822378549227274,1.822378549227274,2061.0,2061.0,3.6999,3.6999,9.6856,9.6856,1581.7751,14840.0416,8244.5008,37661.3041,0,1581.7751,14840.0416,9560.4521,42050.0878,0
26,26,60,1,0,1,1,0,0,1,0,12994.9866,0,19054.4111,19054.4111,2.01458951203044,19185.6538,0,11575.3781,0.0,1.8233218461541612,1.8233218461541612,0.0,1.822378549227274,1.822378549227274,2061.0,2062.0,3.6999,3.7222,9.6856,9.6806,1581.7751,14840.0416,8244.5008,37661.3041,0,1582.6958,14840.0416,10842.0973,46319.2458,0
27,27,20,1,0,1,1,0,0,0,0,0,0,0,0,0.0,0,0,4188.9751,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,2021.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,28,25,1,0,1,1,0,0,0,0,0,0,0,0,0.0,0,0,4188.9751,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,2021.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,29,30,1,0,1,1,0,0,0,0,0,0,0,0,0.0,0,0,4188.9751,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,2021.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,30,35,1,0,1,1,0,0,0,0,0,0,0,0,0.0,0,0,4188.9751,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,2021.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,31,40,1,0,1,1,0,0,0,0,0,0,0,0,0.0,0,0,4188.9751,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,2021.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,32,45,1,0,1,1,0,0,0,0,0,0,0,0,0.0,0,0,4188.9751,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,2021.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,33,50,1,0,1,1,0,0,0,0,0,0,0,0,0.0,0,0,4188.9751,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,2021.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,34,55,1,0,1,1,0,0,0,0,0,0,0,0,0.0,0,0,4188.9751,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,2021.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,35,60,1,0,1,1,0,0,0,0,0,0,0,0,0.0,0,0,4188.9751,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,2021.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,36,20,1,0,1,0,1,1,1,0,-53875.116,0,-192766.9,-192766.9,0.0,307102.9882,0,626053.7114,0.0,6.948151868500001,6.948151868500001,0.0,12.968751499933337,12.968751499933337,2041.0,2030.0,15.3001,9.3651,21.7858,40.6633,70726.9721,193336.2352,14492.7725,229871.7697,5190.9059,36061.5365,193336.2352,0,51441.1321,14810.2604
37,37,25,1,0,1,0,1,1,1,0,-53875.116,0,-168616.5943,-168616.5943,0.0,307102.9882,0,626053.7114,0.0,9.374718967933335,9.374718967933335,0.0,12.968751499933337,12.968751499933337,2041.0,2033.0,15.3001,10.8436,21.7858,30.1379,70726.9721,193336.2352,14492.7725,229871.7697,5190.9059,49391.6536,193336.2352,25.8059,85264.2683,11127.1678
38,38,30,1,0,1,0,1,1,1,0,-53875.116,0,-144203.6388,-144203.6388,0.0,307102.9882,0,626053.7114,0.0,10.580506249933336,10.580506249933336,0.0,12.968751499933337,12.968751499933337,2041.0,2035.0,15.3001,11.909,21.7858,26.7033,70726.9721,193336.2352,14492.7725,229871.7697,5190.9059,56368.8286,193336.2352,433.8519,115131.2835,9196.0065
39,39,35,1,0,1,0,1,1,1,0,-53875.116,0,-119588.9735,-119588.9735,0.0,307102.9882,0,626053.7114,0.0,11.55233844886667,11.55233844886667,0.0,12.968751499933337,12.968751499933337,2041.0,2037.0,15.3001,13.011,21.7858,24.4569,70726.9721,193336.2352,14492.7725,229871.7697,5190.9059,62124.9707,193336.2352,1600.016,145072.2538,7600.0053
40,40,40,1,0,1,0,1,1,1,0,-53875.116,0,-96081.4533,-96081.4533,0.0,307102.9882,0,626053.7114,0.0,11.961478568033337,11.961478568033337,0.0,12.968751499933337,12.968751499933337,2041.0,2038.0,15.3001,13.5756,21.7858,23.6204,70726.9721,193336.2352,14492.7725,229871.7697,5190.9059,64601.1967,193336.2352,3741.5382,172506.6126,6909.0958
41,41,45,1,0,1,0,1,1,1,0,-53875.116,0,-73552.5828,-73552.5828,0.0,307102.9882,0,626053.7114,0.0,12.663995090600004,12.663995090600004,0.0,12.968751499933337,12.968751499933337,2041.0,2040.0,15.3001,14.7204,21.7858,22.3101,70726.9721,193336.2352,14492.7725,229871.7697,5190.9059,68877.7852,193336.2352,7836.2769,202207.7111,5709.9965
42,42,50,1,0,1,0,1,1,1,0,-53875.116,0,-53875.116,-53875.116,0.0,307102.9882,0,626053.7114,0.0,12.968751499933337,12.968751499933337,0.0,12.968751499933337,12.968751499933337,2041.0,2041.0,15.3001,15.3001,21.7858,21.7858,70726.9721,193336.2352,14492.7725,229871.7697,5190.9059,70726.9721,193336.2352,14492.7725,229871.7697,5190.9059
