,ID,E_Brent,C_polimero,PPM,Costo_Kw_hr,PP,capex_h,opex_h,costo_polim_h,PPM_h,Costo_Kw_hr_h,produc_h,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE,volumen_B_LE_p,volumen_I_LE_p,volumen_T_LE_p,LE_year_p,LE_year_b,lc_p,lc_b,dc_p,dc_b,opex_ing_p,capex_ing_p,impuesto_ing_p,ingreso_ing_p,abandono_ing_p,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b
0,0,50,3.2,700,244,0.5700000000000001,0.9,1,1,1,1,1,0,208839.578,0,216934.8337,216934.8337,5.456308146153694,284768.885,0,528735.3285,0.0,42.422895954590985,42.422895954590985,0.0,38.70158929190755,38.70158929190755,2062.0,2062.0,6.4701,6.4701,3.2423,2.9579,93289.426,57820.2536,95071.0485,455020.306,0,102259.5631,57820.2536,98548.9033,475563.5537,0
1,1,50,3.2,700,244,0.5700000000000001,1.1,1,1,1,1,1,0,198987.1279,0,207082.3836,207082.3836,4.282426407143657,348050.8595,0,528735.3285,0.0,42.422895954590985,42.422895954590985,0.0,38.70158929190755,38.70158929190755,2062.0,2062.0,6.4701,6.4701,3.9628,3.6152,93289.426,70669.1988,92074.5533,455020.306,0,102259.5631,70669.1988,95552.4081,475563.5537,0
2,2,50,3.2,700,244,0.5700000000000001,1,0.9,1,1,1,1,0,204252.7673,0,212380.659,212380.659,4.81889998527193,316409.8722,0,525914.1713,0.0,42.422895954590985,42.422895954590985,0.0,38.70158929190755,38.70158929190755,2062.0,2062.0,6.4353,6.4353,3.6026,3.2866,92805.0367,64244.7262,93717.7758,455020.306,0,101728.5979,64244.7262,97209.5706,475563.5537,0
3,3,50,3.2,700,244,0.5700000000000001,1,1.1,1,1,1,1,0,203573.9386,0,211636.5584,211636.5584,4.802370600408539,316409.8722,0,531556.4857,0.0,42.422895954590985,42.422895954590985,0.0,38.70158929190755,38.70158929190755,2062.0,2062.0,6.5049,6.5049,3.6026,3.2866,93773.8153,64244.7262,93427.8259,455020.306,0,102790.5283,64244.7262,96891.7408,475563.5537,0
4,4,50,3.2,700,244,0.5700000000000001,1,1,1,1,1,0.9,0,178786.9256,0,186081.2851,186081.2851,4.234014165077304,316409.8722,0,476280.6932,0.0,38.20578277962091,38.20578277962091,0.0,34.8543983252682,34.8543983252682,2062.0,2062.0,6.4701,6.4701,4.0029,3.6517,83960.4834,64244.7262,82799.1874,409791.3226,0,92033.6068,64244.7262,85932.955,428292.5731,0
5,5,50,3.2,700,244,0.5700000000000001,1,1,1,1,1,1.1,0,228987.0619,0,237880.8338,237880.8338,5.386031233845998,316409.8722,0,581189.9638,0.0,46.633463139633726,46.633463139633726,0.0,42.54280847826236,42.54280847826236,2062.0,2062.0,6.4701,6.4701,3.2751,2.9878,102618.3686,64244.7262,104323.8208,500173.9775,0,112485.5194,64244.7262,108144.7428,522755.8223,0
6,6,50,3.2,700,244,0.5700000000000001,1,1,0.9,1,1,1,0,207133.0816,0,215537.9266,215537.9266,4.889017136464478,316409.8722,0,503050.5932,0.0,42.422895954590985,42.422895954590985,0.0,38.70158929190755,38.70158929190755,2062.0,2062.0,6.1533,6.1533,3.6026,3.2866,88695.5074,64244.7262,94946.9908,455020.306,0,97223.9216,64244.7262,98556.9793,475563.5537,0
7,7,50,3.2,700,244,0.5700000000000001,1,1,1.1,1,1,1,0,200693.6243,0,208479.2907,208479.2907,4.732253449215992,316409.8722,0,554420.0638,0.0,42.422895954590985,42.422895954590985,0.0,38.70158929190755,38.70158929190755,2062.0,2062.0,6.7869,6.7869,3.6026,3.2866,97883.3446,64244.7262,92198.6109,455020.306,0,107295.2046,64244.7262,95544.3321,475563.5537,0
8,8,50,3.2,700,244,0.5700000000000001,1,1,1,0.9,1,1,0,207133.0816,0,215537.9266,215537.9266,4.889017136464478,316409.8722,0,503050.5932,0.0,42.422895954590985,42.422895954590985,0.0,38.70158929190755,38.70158929190755,2062.0,2062.0,6.1533,6.1533,3.6026,3.2866,88695.5074,64244.7262,94946.9908,455020.306,0,97223.9216,64244.7262,98556.9793,475563.5537,0
9,9,50,3.2,700,244,0.5700000000000001,1,1,1,1.1,1,1,0,200693.6243,0,208479.2907,208479.2907,4.732253449215992,316409.8722,0,554420.0638,0.0,42.422895954590985,42.422895954590985,0.0,38.70158929190755,38.70158929190755,2062.0,2062.0,6.7869,6.7869,3.6026,3.2866,97883.3446,64244.7262,92198.6109,455020.306,0,107295.2046,64244.7262,95544.3321,475563.5537,0
10,10,50,3.2,700,244,0.5700000000000001,1,1,1,1,0.9,1,0,205634.6703,0,213895.4373,213895.4373,4.8525423667072145,316409.8722,0,514839.8945,0.0,42.422895954590985,42.422895954590985,0.0,38.70158929190755,38.70158929190755,2062.0,2062.0,6.2987,6.2987,3.6026,3.2866,90833.2744,64244.7262,94307.6351,455020.306,0,99567.2431,64244.7262,97856.1471,475563.5537,0
11,11,50,3.2,700,244,0.5700000000000001,1,1,1,1,1.1,1,0,202192.0356,0,210121.7801,210121.7801,4.768728218973256,316409.8722,0,542630.7625,0.0,42.422895954590985,42.422895954590985,0.0,38.70158929190755,38.70158929190755,2062.0,2062.0,6.6415,6.6415,3.6026,3.2866,95745.5775,64244.7262,92837.9667,455020.306,0,104951.8831,64244.7262,96245.1643,475563.5537,0
12,12,50,3.2,700,244,0.5700000000000001,1,1,1,1,1,1,0,203913.3529,0,212008.6087,212008.6087,4.810635292840234,316409.8722,0,528735.3285,0.0,42.422895954590985,42.422895954590985,0.0,38.70158929190755,38.70158929190755,2062.0,2062.0,6.4701,6.4701,3.6026,3.2866,93289.426,64244.7262,93572.8009,455020.306,0,102259.5631,64244.7262,97050.6557,475563.5537,0
