,ID,D,E_Brent,Water_Injected_opex,reuti_u,capex_h,opex_h,tarifa_h,produc_h,Opt_ActivacionBasica_a_ab,Opt_Activacion_e1,Opt_Activacion_e2,Opt_Activacion_e3,Opt_Activacion_e4,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,Volumenes,volumen_B_LE,volumen_I_LE,volumen_T_LE,volumen_B_LE_p,volumen_I_LE_p,volumen_T_LE_p,LE_year_p,LE_year_b,lc_p,lc_b,dc_p,dc_b,opex_ing_p,capex_ing_p,impuesto_ing_p,ingreso_ing_p,abandono_ing_p,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b
0,0,1,50,0.3,0,0.9,1,1,1,0,1,0,0,0,0,174042.705,0,169888.3863,169888.3863,1.804189718922733,319035.9892,209877.2954,918865.0913,62.591053525498104,0.0,29.92228265112874,29.92228265112874,0.0,29.92228265112874,29.92228265112874,2060.0,2060.0,12.622,12.622,4.6993,4.6993,84517.7972,115364.1885,40003.2766,414144.2232,216.2559,84517.7972,115364.1885,38250.1564,408236.7843,216.2559
1,1,1,50,0.3,0,0.9,1,1,1,0,0,1,0,0,0,-2962.9824,0,-5852.3914,-5852.3914,0.0,381559.9439,209877.2954,834201.3558,26.87694643199999,0.0,10.6524160311977,10.6524160311977,0.0,10.6524160311977,10.6524160311977,2044.0,2044.0,17.4729,17.4729,15.8156,15.8156,62007.7528,122151.8867,0,182891.7758,1695.1186,62007.7528,122151.8867,0,180002.3668,1695.1186
2,2,1,50,0.3,0,0.9,1,1,1,0,0,0,1,0,0,-56171.6036,0,-61373.0714,-61373.0714,0.0,1045487.844,209877.2954,1723985.3755,65.71882609600006,0.0,27.0800071809898,27.0800071809898,0.0,27.626245172076466,27.626245172076466,2051.0,2050.0,19.8571,19.4023,16.6617,16.9968,120528.4132,246159.4149,0,313086.8222,2570.5977,119150.5703,246159.4149,0,306764.5712,2827.6575
3,3,1,50,0.3,0,0.9,1,1,1,0,0,0,0,1,0,-66788.776,0,-68280.0507,-68280.0507,0.0,683530.3663,209877.2954,1047985.9963,32.89761992000001,0.0,13.96473022982267,13.96473022982267,0.0,13.96473022982267,13.96473022982267,2054.0,2054.0,24.3261,24.3261,21.615,21.615,51664.2222,108251.6957,0,94393.6604,1266.5186,51664.2222,108251.6957,0,92902.3857,1266.5186
4,4,1,50,0.3,0,0.9,1,1,1,0,1,1,1,1,0,47818.6932,0,36141.7148,36141.7148,0.13243551902930378,2429614.1434,209877.2954,3895405.9325,188.08444597349816,0.0,82.09361495769014,82.09361495769014,0.0,83.39155997124108,83.39155997124108,2055.0,2054.0,18.0541,17.6731,12.6966,12.8952,309805.2222,591927.1858,46107.9821,999508.6276,3849.5444,307566.3796,591927.1858,42250.4447,982120.2237,4234.4989
5,5,1,50,0.3,0,1.1,1,1,1,0,1,0,0,0,0,154307.1982,0,150146.3391,150146.3391,1.2939908194148406,389932.8757,209877.2954,918865.0913,62.591053525498104,0.0,29.92228265112874,29.92228265112874,0.0,29.92228265112874,29.92228265112874,2060.0,2060.0,12.622,12.622,5.7435,5.7435,84517.7972,141000.6748,34054.2402,414144.2232,264.3128,84517.7972,141000.6748,32307.6604,408236.7843,264.3128
6,6,1,50,0.3,0,1.1,1,1,1,0,0,1,0,0,0,-30484.5392,0,-33373.9481,-33373.9481,0.0,466351.0426,209877.2954,834201.3558,26.87694643199999,0.0,10.6524160311977,10.6524160311977,0.0,10.6524160311977,10.6524160311977,2044.0,2044.0,17.4729,17.4729,19.3302,19.3302,62007.7528,149296.7505,0,182891.7758,2071.8116,62007.7528,149296.7505,0,180002.3668,2071.8116
7,7,1,50,0.3,0,1.1,1,1,1,0,0,0,1,0,0,-111444.9398,0,-116703.532,-116703.532,0.0,1277818.476,209877.2954,1723985.3755,65.71882609600006,0.0,27.0800071809898,27.0800071809898,0.0,27.626245172076466,27.626245172076466,2051.0,2050.0,19.8571,19.4023,20.3644,20.7739,120528.4132,300861.5071,0,313086.8222,3141.8417,119150.5703,300861.5071,0,306764.5712,3456.0258
8,8,1,50,0.3,0,1.1,1,1,1,0,0,0,0,1,0,-91126.1569,0,-92617.4316,-92617.4316,0.0,835426.0032,209877.2954,1047985.9963,32.89761992000001,0.0,13.96473022982267,13.96473022982267,0.0,13.96473022982267,13.96473022982267,2054.0,2054.0,24.3261,24.3261,26.4183,26.4183,51664.2222,132307.628,0,94393.6604,1547.9671,51664.2222,132307.628,0,92902.3857,1547.9671
9,9,1,50,0.3,0,1.1,1,1,1,0,1,1,1,1,0,-71441.1033,0,-83505.9189,-83505.9189,0.0,2969528.3975,209877.2954,3895405.9325,188.08444597349816,0.0,82.09361495769014,82.09361495769014,0.0,83.39155997124108,83.39155997124108,2055.0,2054.0,18.0541,17.6731,15.518,15.7607,309805.2222,723466.5604,32972.9497,999508.6276,4704.9987,307566.3796,723466.5604,29417.704,982120.2237,5175.4986
10,10,1,50,0.3,0,1,0.9,1,1,0,1,0,0,0,0,166702.4584,0,162548.5096,162548.5096,1.5509740915299457,354484.4325,209877.2954,885177.463,62.591053525498104,0.0,29.92228265112874,29.92228265112874,0.0,29.92228265112874,29.92228265112874,2060.0,2060.0,12.0844,12.0844,5.2214,5.2214,81007.1073,128182.4316,38011.9415,414144.2232,240.2844,81007.1073,128182.4316,36258.4514,408236.7843,240.2844
11,11,1,50,0.3,0,1,0.9,1,1,0,0,1,0,0,0,-12664.8606,0,-15569.438,-15569.438,0.0,423955.4932,209877.2954,790271.3471,26.87694643199999,0.0,10.864169653104366,10.864169653104366,0.0,10.864169653104366,10.864169653104366,2045.0,2045.0,16.8701,16.8701,17.2305,17.2305,59080.1999,135724.3186,0,183851.8989,1712.241,59080.1999,135724.3186,0,180947.3215,1712.241
12,12,1,50,0.3,0,1,0.9,1,1,0,0,0,1,0,0,-74706.2222,0,-79671.5618,-79671.5618,0.0,1161653.16,209877.2954,1606892.7417,65.71882609600006,0.0,28.144461124356464,28.144461124356464,0.0,28.144461124356464,28.144461124356464,2052.0,2052.0,18.8191,18.8191,18.1732,18.1732,112891.7722,273510.461,0,314292.5744,2596.5634,112891.7722,273510.461,0,309327.2348,2596.5634
