,ID,E_Brent,Opt_Basica,PP,BR,AR,WO,NW,opt_CE,opt_CN,opt_CS,opt_IC,opt_IN,opt_IS,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE
0,0,30,0,0.52,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,209877.2954,209877.2954,0.0,0.0,0.0
1,1,35,0,0.535,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,209877.2954,209877.2954,0.0,0.0,0.0
2,2,40,0,0.555,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,209877.2954,209877.2954,0.0,0.0,0.0
3,3,45,0,0.5700000000000001,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,209877.2954,209877.2954,0.0,0.0,0.0
4,4,50,0,0.5700000000000001,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,209877.2954,209877.2954,0.0,0.0,0.0
5,5,30,0,0.52,1,0,1,0,0,0,0,0,0,1,0,5251.5438,0,-3245.0404,-3245.0404,0.0,18791.1968,209877.2954,210220.9275,0.0,0.5833999587,0.5833999587
6,6,35,0,0.535,1,0,1,0,0,0,0,0,0,1,0,5251.5438,0,-997.2031,-997.2031,0.0,18791.1968,209877.2954,210220.9275,0.0,0.6474830754541667,0.6474830754541667
7,7,40,0,0.555,1,0,1,0,0,0,0,0,0,1,0,5251.5438,0,1516.6367,1516.6367,0.19913821875954088,18791.1968,209877.2954,210220.9275,0.0,0.6716880502375002,0.6716880502375002
8,8,45,0,0.5700000000000001,1,0,1,0,0,0,0,0,0,1,0,5251.5438,0,4101.1387,4101.1387,0.5384898472580387,18791.1968,209877.2954,210220.9275,0.0,0.724941053225,0.724941053225
9,9,50,0,0.5700000000000001,1,0,1,0,0,0,0,0,0,1,0,5251.5438,0,6507.794,6507.794,0.8544897548479482,18791.1968,209877.2954,210220.9275,0.0,0.724941053225,0.724941053225
10,10,30,0,0.52,1,0,1,0,0,0,0,0,1,0,0,6662.0332,0,-3732.9584,-3732.9584,0.0,24122.3172,209877.2954,211518.717,0.0,0.7384366379,0.7384366379
11,11,35,0,0.535,1,0,1,0,0,0,0,0,1,0,0,6662.0332,0,-922.3355,-922.3355,0.0,24122.3172,209877.2954,211518.717,0.0,0.8077317048125002,0.8077317048125002
12,12,40,0,0.555,1,0,1,0,0,0,0,0,1,0,0,6662.0332,0,2220.8241,2220.8241,0.22714780905115495,24122.3172,209877.2954,211518.717,0.0,0.878146691875,0.878146691875
13,13,45,0,0.5700000000000001,1,0,1,0,0,0,0,0,1,0,0,6662.0332,0,5517.6579,5517.6579,0.5643508085784698,24122.3172,209877.2954,211518.717,0.0,0.9018803862500003,0.9018803862500003
14,14,50,0,0.5700000000000001,1,0,1,0,0,0,0,0,1,0,0,6662.0332,0,8528.065,8528.065,0.8722578460342878,24122.3172,209877.2954,211518.717,0.0,0.9361326980000003,0.9361326980000003
15,15,30,0,0.52,1,0,1,0,0,0,0,0,1,1,0,19261.0066,0,-978.0277,-978.0277,0.0,42913.514,209877.2954,211862.3491,0.0,1.5082530887666667,1.5082530887666667
16,16,35,0,0.535,1,0,1,0,0,0,0,0,1,1,0,19261.0066,0,4646.8192,4646.8192,0.26716605417025485,42913.514,209877.2954,211862.3491,0.0,1.603630311279167,1.603630311279167
17,17,40,0,0.555,1,0,1,0,0,0,0,0,1,1,0,19261.0066,0,10897.953,10897.953,0.6265712045268402,42913.514,209877.2954,211862.3491,0.0,1.7084498080875006,1.7084498080875006
18,18,45,0,0.5700000000000001,1,0,1,0,0,0,0,0,1,1,0,19261.0066,0,17298.1454,17298.1454,0.9945463920102161,42913.514,209877.2954,211862.3491,0.0,1.7937728871750007,1.7937728871750007
19,19,50,0,0.5700000000000001,1,0,1,0,0,0,0,0,1,1,0,19261.0066,0,22972.4073,22972.4073,1.3207846439979731,42913.514,209877.2954,211862.3491,0.0,1.7937728871750007,1.7937728871750007
20,20,30,0,0.52,1,0,1,0,0,0,0,1,0,0,0,-1708.7877,0,-1813.2943,-1813.2943,0.0,7999.4083,209877.2954,211172.7662,0.0,0.020534462,0.020534462
21,21,35,0,0.535,1,0,1,0,0,0,0,1,0,0,0,-1708.7877,0,-3442.1263,-3442.1263,0.0,7999.4083,209877.2954,211172.7662,0.0,0.16826337920416667,0.16826337920416667
22,22,40,0,0.555,1,0,1,0,0,0,0,1,0,0,0,-1708.7877,0,-2803.2318,-2803.2318,0.0,7999.4083,209877.2954,211172.7662,0.0,0.1745535989875,0.1745535989875
23,23,45,0,0.5700000000000001,1,0,1,0,0,0,0,1,0,0,0,-1708.7877,0,-2181.632,-2181.632,0.0,7999.4083,209877.2954,211172.7662,0.0,0.21707065470000003,0.21707065470000003
24,24,50,0,0.5700000000000001,1,0,1,0,0,0,0,1,0,0,0,-1708.7877,0,-1399.3198,-1399.3198,0.0,7999.4083,209877.2954,211172.7662,0.0,0.21707065470000003,0.21707065470000003
25,25,30,0,0.52,1,0,1,0,0,0,0,1,0,1,0,9502.3198,0,-2700.1951,-2700.1951,0.0,26790.6051,209877.2954,211516.3982,0.0,0.871196345066667,0.871196345066667
26,26,35,0,0.535,1,0,1,0,0,0,0,1,0,1,0,9502.3198,0,601.2288,601.2288,0.055371960958342445,26790.6051,209877.2954,211516.3982,0.0,0.9435129763166669,0.9435129763166669
27,27,40,0,0.555,1,0,1,0,0,0,0,1,0,1,0,9502.3198,0,4290.5314,4290.5314,0.3951493261481383,26790.6051,209877.2954,211516.3982,0.0,0.9787844894500001,0.9787844894500001
28,28,45,0,0.5700000000000001,1,0,1,0,0,0,0,1,0,1,0,9502.3198,0,8095.4004,8095.4004,0.7455701209989365,26790.6051,209877.2954,211516.3982,0.0,1.043803485925,1.043803485925
29,29,50,0,0.5700000000000001,1,0,1,0,0,0,0,1,0,1,0,9502.3198,0,11523.3566,11523.3566,1.0612780038090415,26790.6051,209877.2954,211516.3982,0.0,1.043803485925,1.043803485925
30,30,30,0,0.52,1,0,1,0,0,0,0,1,1,0,0,11177.6066,0,-3067.3189,-3067.3189,0.0,32121.7255,209877.2954,212814.1877,0.0,1.0407946302,1.0407946302
31,31,35,0,0.535,1,0,1,0,0,0,0,1,1,0,0,11177.6066,0,854.004,854.004,0.06559674381958663,32121.7255,209877.2954,212814.1877,0.0,1.1209534320999999,1.1209534320999999
32,32,40,0,0.555,1,0,1,0,0,0,0,1,1,0,0,11177.6066,0,5228.6262,5228.6262,0.401615040989931,32121.7255,209877.2954,212814.1877,0.0,1.2059339501125002,1.2059339501125002
33,33,45,0,0.5700000000000001,1,0,1,0,0,0,0,1,1,0,0,11177.6066,0,9745.2094,9745.2094,0.7485374777039995,32121.7255,209877.2954,212814.1877,0.0,1.2757873009499998,1.2757873009499998
34,34,50,0,0.5700000000000001,1,0,1,0,0,0,0,1,1,0,0,11177.6066,0,13830.2511,13830.2511,1.0623128568314872,32121.7255,209877.2954,212814.1877,0.0,1.2757873009499998,1.2757873009499998
35,35,30,0,0.52,1,0,1,0,0,0,0,1,1,1,0,23945.9781,0,-124.7963,-124.7963,0.0,50912.9223,209877.2954,213157.8198,0.0,1.8345369804666667,1.8345369804666667
36,36,35,0,0.535,1,0,1,0,0,0,0,1,1,1,0,23945.9781,0,6613.9433,6613.9433,0.3205206347180278,50912.9223,209877.2954,213157.8198,0.0,1.9385949334416666,1.9385949334416666
37,37,40,0,0.555,1,0,1,0,0,0,0,1,1,1,0,23945.9781,0,14094.7696,14094.7696,0.6830515919913771,50912.9223,209877.2954,213157.8198,0.0,2.0561799294250003,2.0561799294250003
38,38,45,0,0.5700000000000001,1,0,1,0,0,0,0,1,1,1,0,23945.9781,0,21726.2618,21726.2618,1.0528840218934052,50912.9223,209877.2954,213157.8198,0.0,2.1503041983250006,2.1503041983250006
39,39,50,0,0.5700000000000001,1,0,1,0,0,0,0,1,1,1,0,23945.9781,0,28465.3972,28465.3972,1.3794716377965668,50912.9223,209877.2954,213157.8198,0.0,2.1503041983250006,2.1503041983250006
40,40,30,0,0.52,1,0,1,0,0,0,1,0,0,0,0,12898.0877,0,-3220.725,-3220.725,0.0,36200.3887,209877.2954,216628.3902,0.0,1.1608924288,1.1608924288
41,41,35,0,0.535,1,0,1,0,0,0,1,0,0,0,0,12898.0877,0,1221.9756,1221.9756,0.08328622944320609,36200.3887,209877.2954,216628.3902,0.0,1.2531735955874996,1.2531735955874996
42,42,40,0,0.555,1,0,1,0,0,0,1,0,0,0,0,12898.0877,0,6187.1353,6187.1353,0.42169678919297493,36200.3887,209877.2954,216628.3902,0.0,1.3513034055125004,1.3513034055125004
43,43,45,0,0.5700000000000001,1,0,1,0,0,0,1,0,0,0,0,12898.0877,0,11316.4681,11316.4681,0.7712969020712831,36200.3887,209877.2954,216628.3902,0.0,1.4327439810500002,1.4327439810500002
44,44,50,0,0.5700000000000001,1,0,1,0,0,0,1,0,0,0,0,12898.0877,0,15937.7525,15937.7525,1.086269937426582,36200.3887,209877.2954,216628.3902,0.0,1.4715726831500002,1.4715726831500002
45,45,30,0,0.52,1,0,1,0,0,0,1,0,0,1,0,25759.2298,0,-194.8926,-194.8926,0.0,54991.5855,209877.2954,216972.0222,0.0,1.9707389927333332,1.9707389927333332
46,46,35,0,0.535,1,0,1,0,0,0,1,0,0,1,0,25759.2298,0,7074.0762,7074.0762,0.3173939451004701,54991.5855,209877.2954,216972.0222,0.0,2.085913922658334,2.085913922658334
47,47,40,0,0.555,1,0,1,0,0,0,1,0,0,1,0,25759.2298,0,15149.7048,15149.7048,0.6797247307405773,54991.5855,209877.2954,216972.0222,0.0,2.215788681275,2.215788681275
48,48,45,0,0.5700000000000001,1,0,1,0,0,0,1,0,0,1,0,25759.2298,0,23395.3918,23395.3918,1.049685562875487,54991.5855,209877.2954,216972.0222,0.0,2.3209683871,2.3209683871
49,49,50,0,0.5700000000000001,1,0,1,0,0,0,1,0,0,1,0,25759.2298,0,30676.1504,30676.1504,1.3763527629773442,54991.5855,209877.2954,216972.0222,0.0,2.3596469626000003,2.3596469626000003
50,50,30,0,0.52,1,0,1,0,0,0,1,0,1,0,0,27818.6326,0,-249.9892,-249.9892,0.0,60322.7058,209877.2954,218269.8118,0.0,2.1874087443000003,2.1874087443000003
51,51,35,0,0.535,1,0,1,0,0,0,1,0,1,0,0,27818.6326,0,7688.362,7688.362,0.31446529537204615,60322.7058,209877.2954,218269.8118,0.0,2.3101144114375005,2.3101144114375005
