,ID,E_Brent,Opt_Basica,PP,BR,AR,WO,NW,opt_CE,opt_CN,opt_CS,opt_IC,opt_IN,opt_IS,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE
0,0,30,0,0.52,1,0,1,1,1,1,1,1,1,1,0,91529.597,0,-24423.3842,-24423.3842,0.0,258069.7285,918828.16,1065050.5754,0.0,9.134293278066666,9.134293278066666
1,1,30,0,0.52,1,0,1,1,1,1,1,1,1,0,0,72496.1318,0,-25024.6933,-25024.6933,0.0,215956.7757,918828.16,1040469.62,0.0,7.3772769928,7.3772769928
2,2,30,0,0.52,1,0,1,1,1,1,1,1,0,1,0,75853.2964,0,-26172.1318,-26172.1318,0.0,225938.1415,918828.16,1054949.3947,0.0,7.713097539333333,7.713097539333333
3,3,30,0,0.52,1,0,1,1,1,1,1,1,0,0,0,56751.5979,0,-26395.7791,-26395.7791,0.0,183825.1887,918828.16,1030368.4392,0.0,6.3475260394,6.3475260394
4,4,30,0,0.52,1,0,1,1,1,1,1,0,1,1,0,77752.104,0,-24645.1056,-24645.1056,0.0,230445.8376,918828.16,1042660.2443,0.0,7.767508332566666,7.767508332566666
5,5,30,0,0.52,1,0,1,1,1,1,1,0,1,0,0,58661.7748,0,-24862.8111,-24862.8111,0.0,188332.8848,918828.16,1018079.2889,0.0,6.401936832633333,6.401936832633333
6,6,30,0,0.52,1,0,1,1,1,1,1,0,0,1,0,62044.6586,0,-25996.8083,-25996.8083,0.0,198314.2507,918828.16,1032559.0636,0.0,6.737757379166667,6.737757379166667
7,7,30,0,0.52,1,0,1,1,1,1,1,0,0,0,0,42874.1558,0,-26194.0425,-26194.0425,0.0,156201.2979,918828.16,1007978.1082,0.0,5.089379450566668,5.089379450566668
8,8,30,0,0.52,1,0,1,1,1,1,0,1,1,1,0,56662.0346,0,-26553.1005,-26553.1005,0.0,188548.8508,918828.16,1023851.2532,0.0,6.3495908164,6.3495908164
9,9,30,0,0.52,1,0,1,1,1,1,0,1,1,0,0,37501.9333,0,-26683.9503,-26683.9503,0.0,146435.898,918828.16,999270.2978,0.0,4.711467149133334,4.711467149133334
10,10,30,0,0.52,1,0,1,1,1,1,0,1,0,1,0,40911.5008,0,-27841.5791,-27841.5791,0.0,156417.2638,918828.16,1013750.0725,0.0,5.035242513166666,5.035242513166666
11,11,30,0,0.52,1,0,1,1,1,1,0,1,0,0,0,21836.7347,0,-27638.2234,-27638.2234,0.0,114304.311,918828.16,989169.1171,0.0,3.4646346600666664,3.4646346600666664
12,12,30,0,0.52,1,0,1,1,1,1,0,0,1,1,0,42904.4263,0,-26200.8936,-26200.8936,0.0,160924.9599,918828.16,1001460.9221,0.0,5.111441713733333,5.111441713733333
13,13,30,0,0.52,1,0,1,1,1,1,0,0,1,0,0,23978.5173,0,-25865.3214,-25865.3214,0.0,118812.0071,918828.16,976879.9667,0.0,3.5641036569666666,3.5641036569666666
14,14,30,0,0.52,1,0,1,1,1,1,0,0,0,1,0,27370.9298,0,-27082.0497,-27082.0497,0.0,128793.373,918828.16,991359.7414,0.0,3.8733890563333335,3.8733890563333335
15,15,30,0,0.52,1,0,1,1,1,1,0,0,0,0,0,8793.2596,0,-26249.0321,-26249.0321,0.0,86680.4202,918828.16,966778.786,0.0,2.1495692257,2.1495692257
16,16,30,0,0.52,1,0,1,1,1,0,1,1,1,1,0,67978.8339,0,-25354.4023,-25354.4023,0.0,208924.431,918828.16,1038519.4265,0.0,7.115390180166668,7.115390180166668
17,17,30,0,0.52,1,0,1,1,1,0,1,1,1,0,0,48805.7109,0,-25667.7752,-25667.7752,0.0,166811.4782,918828.16,1013938.4711,0.0,5.443729011066666,5.443729011066666
18,18,30,0,0.52,1,0,1,1,1,0,1,1,0,1,0,52204.2677,0,-26831.1583,-26831.1583,0.0,176792.844,918828.16,1028418.2457,0.0,5.767504375100001,5.767504375100001
19,19,30,0,0.52,1,0,1,1,1,0,1,1,0,0,0,33212.1327,0,-26944.0023,-26944.0023,0.0,134679.8912,918828.16,1003837.2903,0.0,4.153544462166667,4.153544462166667
20,20,30,0,0.52,1,0,1,1,1,0,1,0,1,1,0,54195.6389,0,-25191.2851,-25191.2851,0.0,181300.5402,918828.16,1016129.0954,0.0,5.843703575666668,5.843703575666668
21,21,30,0,0.52,1,0,1,1,1,0,1,0,1,0,0,35162.553,0,-25171.1003,-25171.1003,0.0,139187.5874,918828.16,991548.14,0.0,4.2530134590666675,4.2530134590666675
22,22,30,0,0.52,1,0,1,1,1,0,1,0,0,1,0,38554.9655,0,-26387.8286,-26387.8286,0.0,149168.9532,918828.16,1006027.9147,0.0,4.562298858433334,4.562298858433334
23,23,30,0,0.52,1,0,1,1,1,0,1,0,0,0,0,19844.2831,0,-25945.1116,-25945.1116,0.0,107056.0004,918828.16,981446.9593,0.0,3.0464093408666666,3.0464093408666666
24,24,30,0,0.52,1,0,1,1,1,0,0,1,1,1,0,33176.2794,0,-26746.2118,-26746.2118,0.0,139403.5533,918828.16,997320.1043,0.0,4.199779178833333,4.199779178833333
25,25,30,0,0.52,1,0,1,1,1,0,0,1,1,0,0,14497.879,0,-26080.8439,-26080.8439,0.0,97290.6005,918828.16,972739.1489,0.0,2.706450194066667,2.706450194066667
26,26,30,0,0.52,1,0,1,1,1,0,0,1,0,1,0,17823.8932,0,-27402.4103,-27402.4103,0.0,107271.9663,918828.16,987218.9235,0.0,2.9975868368333334,2.9975868368333334
27,27,30,0,0.52,1,0,1,1,1,0,0,1,0,0,0,-250.515,0,-25839.2012,-25839.2012,0.0,65159.0135,918828.16,962637.9681,0.0,1.6147165536666668,1.6147165536666668
28,28,30,0,0.52,1,0,1,1,1,0,0,0,1,1,0,20157.2132,0,-25472.4793,-25472.4793,0.0,111779.6624,918828.16,974929.7732,0.0,3.1213996649333335,3.1213996649333335
29,29,30,0,0.52,1,0,1,1,1,0,0,0,1,0,0,2604.4571,0,-23742.5272,-23742.5272,0.0,69666.7096,918828.16,950348.8178,0.0,1.7623587717666667,1.7623587717666667
30,30,30,0,0.52,1,0,1,1,1,0,0,0,0,1,0,5708.4006,0,-25257.3379,-25257.3379,0.0,79648.0755,918828.16,964828.5925,0.0,2.0288391292,2.0288391292
31,31,30,0,0.52,1,0,1,1,1,0,0,0,0,0,0,-9889.2362,0,-8110.7241,-8110.7241,0.0,37535.1227,918828.16,940247.6371,0.0,0.08806277133333332,0.08806277133333332
32,32,30,0,0.52,1,0,1,1,0,1,1,1,1,1,0,70715.2227,0,-26846.3425,-26846.3425,0.0,220534.6058,918828.16,1043631.0983,0.0,7.3913786024,7.3913786024
33,33,30,0,0.52,1,0,1,1,0,1,1,1,1,0,0,51595.5206,0,-27079.3988,-27079.3988,0.0,178421.653,918828.16,1019050.1429,0.0,6.025807102466666,6.025807102466666
34,34,30,0,0.52,1,0,1,1,0,1,1,1,0,1,0,54981.2685,0,-28211.8992,-28211.8992,0.0,188403.0189,918828.16,1033529.9176,0.0,6.361627649000001,6.361627649000001
35,35,30,0,0.52,1,0,1,1,0,1,1,1,0,0,0,35834.0783,0,-28374.4782,-28374.4782,0.0,146290.066,918828.16,1008948.9622,0.0,4.714870928733334,4.714870928733334
36,36,30,0,0.52,1,0,1,1,0,1,1,0,1,1,0,56812.5991,0,-26811.985,-26811.985,0.0,192910.715,918828.16,1021240.7672,0.0,6.098826651233335,6.098826651233335
37,37,30,0,0.52,1,0,1,1,0,1,1,0,1,0,0,37827.0039,0,-26733.7926,-26733.7926,0.0,150797.7622,918828.16,996659.8118,0.0,4.7910701293,4.7910701293
38,38,30,0,0.52,1,0,1,1,0,1,1,0,0,1,0,41236.5713,0,-27891.4214,-27891.4214,0.0,160779.128,918828.16,1011139.5865,0.0,5.114845493333334,5.114845493333334
39,39,30,0,0.52,1,0,1,1,0,1,1,0,0,0,0,22301.2809,0,-27607.0674,-27607.0674,0.0,118666.1752,918828.16,986558.6311,0.0,3.556920708900001,3.556920708900001
40,40,30,0,0.52,1,0,1,1,0,1,0,1,1,1,0,35864.3488,0,-28519.6548,-28519.6548,0.0,151013.7281,918828.16,1002431.7761,0.0,4.433618715066667,4.433618715066667
41,41,30,0,0.52,1,0,1,1,0,1,0,1,1,0,0,16922.5948,0,-28024.3081,-28024.3081,0.0,108900.7753,918828.16,977850.8207,0.0,2.919067305700001,2.919067305700001
42,42,30,0,0.52,1,0,1,1,0,1,0,1,0,1,0,20315.0073,0,-29182.1789,-29182.1789,0.0,118882.1411,918828.16,992330.5954,0.0,3.5036864286666667,3.5036864286666667
43,43,30,0,0.52,1,0,1,1,0,1,0,1,0,0,0,1754.0946,0,-27956.366,-27956.366,0.0,76769.1883,918828.16,967749.64,0.0,1.8072335289666666,1.8072335289666666
44,44,30,0,0.52,1,0,1,1,0,1,0,0,1,1,0,22456.7899,0,-27415.9434,-27415.9434,0.0,123389.8373,918828.16,980041.4451,0.0,3.334016776566667,3.334016776566667
45,45,30,0,0.52,1,0,1,1,0,1,0,0,1,0,0,4322.5915,0,-25859.692,-25859.692,0.0,81276.8844,918828.16,955460.4897,0.0,1.9548757470666667,1.9548757470666667
46,46,30,0,0.52,1,0,1,1,0,1,0,0,0,1,0,7557.5613,0,-27374.5027,-27374.5027,0.0,91258.2503,918828.16,969940.2643,0.0,2.2213561045000003,2.2213561045000003
47,47,30,0,0.52,1,0,1,1,0,1,0,0,0,0,0,-8978.1717,0,-9876.6706,-9876.6706,0.0,49145.2975,918828.16,945359.3089,0.0,0.10442875083333335,0.10442875083333335
48,48,30,0,0.52,1,0,1,1,0,0,1,1,1,1,0,47168.1264,0,-27365.1541,-27365.1541,0.0,171389.3083,918828.16,1017099.9494,0.0,5.469195053833334,5.469195053833334
49,49,30,0,0.52,1,0,1,1,0,0,1,1,1,0,0,28106.6305,0,-27271.2294,-27271.2294,0.0,129276.3555,918828.16,992518.994,0.0,3.8833108314,3.8833108314
50,50,30,0,0.52,1,0,1,1,0,0,1,1,0,1,0,31499.043,0,-28487.9577,-28487.9577,0.0,139257.7214,918828.16,1006998.7687,0.0,4.192596230766668,4.192596230766668
51,51,30,0,0.52,1,0,1,1,0,0,1,1,0,0,0,12785.5468,0,-27903.3356,-27903.3356,0.0,97144.7686,918828.16,982417.8133,0.0,2.6864266728,2.6864266728
52,52,30,0,0.52,1,0,1,1,0,0,1,0,1,1,0,33640.8256,0,-26715.0557,-26715.0557,0.0,143765.4175,918828.16,994709.6183,0.0,4.292065227666667,4.292065227666667
53,53,30,0,0.52,1,0,1,1,0,0,1,0,1,0,0,15118.8668,0,-25973.4045,-25973.4045,0.0,101652.4647,918828.16,970128.6629,0.0,2.8102395009000007,2.8102395009000007
54,54,30,0,0.52,1,0,1,1,0,0,1,0,0,1,0,18444.881,0,-27294.9709,-27294.9709,0.0,111633.8305,918828.16,984608.4376,0.0,3.1013761436666663,3.1013761436666663
55,55,30,0,0.52,1,0,1,1,0,0,1,0,0,0,0,728.1675,0,-25670.5878,-25670.5878,0.0,69520.8777,918828.16,960027.4822,0.0,1.728112745666667,1.728112745666667
56,56,30,0,0.52,1,0,1,1,0,0,0,1,1,1,0,13098.4769,0,-27430.7032,-27430.7032,0.0,101868.4306,918828.16,975900.6272,0.0,2.7614169968666666,2.7614169968666666
57,57,30,0,0.52,1,0,1,1,0,0,0,1,1,0,0,-4427.4265,0,-25225.4652,-25225.4652,0.0,59755.4778,918828.16,951319.6718,0.0,1.1903919633666669,1.1903919633666669
58,58,30,0,0.52,1,0,1,1,0,0,0,1,0,1,0,-1273.0341,0,-26964.6718,-26964.6718,0.0,69736.8437,918828.16,965799.4465,0.0,1.6865034324666668,1.6865034324666668
59,59,30,0,0.52,1,0,1,1,0,0,0,1,0,0,0,-6613.716,0,-6850.5178,-6850.5178,0.0,27623.8908,918828.16,941218.4911,0.0,0.02899637866666667,0.02899637866666667
60,60,30,0,0.52,1,0,1,1,0,0,0,0,1,1,0,1684.2231,0,-24871.2846,-24871.2846,0.0,74244.5398,918828.16,953510.2961,0.0,1.5886088244000003,1.5886088244000003
61,61,30,0,0.52,1,0,1,1,0,0,0,0,1,0,0,-11695.4926,0,-7026.8168,-7026.8168,0.0,32131.587,918828.16,928929.3407,0.0,0.0710274305,0.0710274305
62,62,30,0,0.52,1,0,1,1,0,0,0,0,0,1,0,-9873.3389,0,-9838.4539,-9838.4539,0.0,42112.9528,918828.16,943409.1154,0.0,0.08388843666666668,0.08388843666666668
63,63,30,0,0.52,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,918828.16,918828.16,0.0,0.0,0.0
64,64,30,0,0.52,1,0,1,0,1,1,1,1,1,1,0,45315.5958,0,-13734.542,-13734.542,0.0,133981.4573,918828.16,932034.8268,0.0,4.3393902578,4.3393902578
65,65,30,0,0.52,1,0,1,0,1,1,1,1,1,0,0,32808.2469,0,-16338.2983,-16338.2983,0.0,115190.2605,918828.16,931691.1948,0.0,3.4536687878333336,3.4536687878333336
66,66,30,0,0.52,1,0,1,0,1,1,1,1,0,1,0,31140.2541,0,-15911.5975,-15911.5975,0.0,109859.1402,918828.16,930393.4052,0.0,3.344561494300001,3.344561494300001
67,67,30,0,0.52,1,0,1,0,1,1,1,1,0,0,0,18873.4847,0,-18217.6787,-18217.6787,0.0,91067.9433,918828.16,930049.7732,0.0,2.4914313779333335,2.4914313779333335
68,68,30,0,0.52,1,0,1,0,1,1,1,0,1,1,0,40783.2113,0,-14472.5337,-14472.5337,0.0,125982.049,918828.16,930739.3561,0.0,4.083680649100001,4.083680649100001
69,69,30,0,0.52,1,0,1,0,1,1,1,0,1,0,0,28299.9676,0,-16944.3608,-16944.3608,0.0,107190.8522,918828.16,930395.724,0.0,3.211801787133333,3.211801787133333
70,70,30,0,0.52,1,0,1,0,1,1,1,0,0,1,0,26713.9476,0,-16517.66,-16517.66,0.0,101859.7318,918828.16,929097.9345,0.0,3.1026944936,3.1026944936
71,71,30,0,0.52,1,0,1,0,1,1,1,0,0,0,0,14588.818,0,-18626.6952,-18626.6952,0.0,83068.535,918828.16,928754.3025,0.0,2.2677400997333335,2.2677400997333335
72,72,30,0,0.52,1,0,1,0,1,1,0,1,1,1,0,25136.6161,0,-16305.5014,-16305.5014,0.0,97781.0686,918828.16,925283.732,0.0,2.9916640156,2.9916640156
73,73,30,0,0.52,1,0,1,0,1,1,0,1,1,0,0,13111.1225,0,-18349.5989,-18349.5989,0.0,78989.8718,918828.16,924940.1,0.0,2.1657928170666665,2.1657928170666665
74,74,30,0,0.52,1,0,1,0,1,1,0,1,0,1,0,11828.455,0,-17784.2071,-17784.2071,0.0,73658.7515,918828.16,923642.3105,0.0,2.0705140352,2.0705140352
75,75,30,0,0.52,1,0,1,0,1,1,0,1,0,0,0,494.1574,0,-19134.372,-19134.372,0.0,54867.5547,918828.16,923298.6784,0.0,1.3046118865,1.3046118865
76,76,30,0,0.52,1,0,1,0,1,1,0,0,1,1,0,20791.5849,0,-16848.5349,-16848.5349,0.0,89781.6603,918828.16,923988.2613,0.0,2.525501497566667,2.525501497566667
77,77,30,0,0.52,1,0,1,0,1,1,0,0,1,0,0,8899.559,0,-18758.6154,-18758.6154,0.0,70990.4635,918828.16,923644.6293,0.0,1.9421015388666667,1.9421015388666667
78,78,30,0,0.52,1,0,1,0,1,1,0,0,0,1,0,7736.2934,0,-18193.2236,-18193.2236,0.0,65659.3432,918828.16,922346.8398,0.0,1.8468227570000002,1.8468227570000002
79,79,30,0,0.52,1,0,1,0,1,1,0,0,0,0,0,-3327.9952,0,-18118.2761,-18118.2761,0.0,46868.1463,918828.16,922003.2077,0.0,0.9049960954666666,0.9049960954666666
