,ID,E_Brent,Opt_Basica,PP,BR,AR,WO,NW,opt_CE,opt_CN,opt_CS,opt_IC,opt_IN,opt_IS,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE
0,0,30,0,0.52,1,0,1,1,1,1,1,1,1,1,0,100758.4183,0,-15883.4984,-15883.4984,0.0,258069.7285,689121.12,835343.5354,0.0,9.475237601266667,9.475237601266667
1,1,30,0,0.52,1,0,1,1,1,1,1,1,1,0,0,81724.9531,0,-16494.6137,-16494.6137,0.0,215956.7757,689121.12,810762.58,0.0,8.017094068533334,8.017094068533334
2,2,30,0,0.52,1,0,1,1,1,1,1,1,0,1,0,85082.1177,0,-17622.1608,-17622.1608,0.0,225938.1415,689121.12,825242.3547,0.0,8.372078548166666,8.372078548166666
3,3,30,0,0.52,1,0,1,1,1,1,1,1,0,0,0,65980.4192,0,-18322.4083,-18322.4083,0.0,183825.1887,689121.12,800661.3992,0.0,6.650168624233333,6.650168624233333
4,4,30,0,0.52,1,0,1,1,1,1,1,0,1,1,0,86980.9253,0,-16410.169,-16410.169,0.0,230445.8376,689121.12,812953.2043,0.0,8.099501589399999,8.099501589399999
5,5,30,0,0.52,1,0,1,1,1,1,1,0,1,0,0,67890.5961,0,-16873.3989,-16873.3989,0.0,188332.8848,689121.12,788372.2489,0.0,6.684401779466667,6.684401779466667
6,6,30,0,0.52,1,0,1,1,1,1,1,0,0,1,0,71273.4799,0,-17993.2019,-17993.2019,0.0,198314.2507,689121.12,802852.0236,0.0,7.0304767455000015,7.0304767455000015
7,7,30,0,0.52,1,0,1,1,1,1,1,0,0,0,0,52106.8837,0,-18556.5962,-18556.5962,0.0,156201.2979,689121.12,778271.0682,0.0,5.372185879233334,5.372185879233334
8,8,30,0,0.52,1,0,1,1,1,1,0,1,1,1,0,65890.8559,0,-18584.7864,-18584.7864,0.0,188548.8508,689121.12,794144.2132,0.0,6.635892412066667,6.635892412066667
9,9,30,0,0.52,1,0,1,1,1,1,0,1,1,0,0,46710.9589,0,-19119.8396,-19119.8396,0.0,146435.898,689121.12,769563.2578,0.0,4.984019316466667,4.984019316466667
10,10,30,0,0.52,1,0,1,1,1,1,0,1,0,1,0,50109.3352,0,-20245.7401,-20245.7401,0.0,156417.2638,689121.12,784043.0325,0.0,5.3198398629999994,5.3198398629999994
11,11,30,0,0.52,1,0,1,1,1,1,0,1,0,0,0,30908.2363,0,-20557.7827,-20557.7827,0.0,114304.311,689121.12,759462.0771,0.0,3.7274859912333334,3.7274859912333334
12,12,30,0,0.52,1,0,1,1,1,1,0,0,1,1,0,52021.1605,0,-18711.9106,-18711.9106,0.0,160924.9599,689121.12,771753.8821,0.0,5.3742506562333325,5.3742506562333325
13,13,30,0,0.52,1,0,1,1,1,1,0,0,1,0,0,32800.2065,0,-18917.0971,-18917.0971,0.0,118812.0071,689121.12,747172.9267,0.0,3.8036851918,3.8036851918
14,14,30,0,0.52,1,0,1,1,1,1,0,0,0,1,0,36209.774,0,-20074.7259,-20074.7259,0.0,128793.373,689121.12,761652.7014,0.0,4.127460555833333,4.127460555833333
15,15,30,0,0.52,1,0,1,1,1,1,0,0,0,0,0,17225.6399,0,-19844.3693,-19844.3693,0.0,86680.4202,689121.12,737071.746,0.0,2.6341713705666665,2.6341713705666665
16,16,30,0,0.52,1,0,1,1,1,0,1,1,1,1,0,77207.6552,0,-17261.3929,-17261.3929,0.0,208924.431,689121.12,808812.3865,0.0,7.427759540500001,7.427759540500001
17,17,30,0,0.52,1,0,1,1,1,0,1,1,1,0,0,58069.5676,0,-17899.291,-17899.291,0.0,166811.4782,689121.12,784231.4311,0.0,5.749818680233333,5.749818680233333
18,18,30,0,0.52,1,0,1,1,1,0,1,1,0,1,0,61456.9333,0,-19030.9458,-19030.9458,0.0,176792.844,689121.12,798711.2057,0.0,6.085639226766667,6.085639226766667
19,19,30,0,0.52,1,0,1,1,1,0,1,1,0,0,0,42266.8451,0,-19300.7873,-19300.7873,0.0,134679.8912,689121.12,774130.2503,0.0,4.720067726833333,4.720067726833333
20,20,30,0,0.52,1,0,1,1,1,0,1,0,1,1,0,63367.2042,0,-17497.9287,-17497.9287,0.0,181300.5402,689121.12,786422.0554,0.0,6.14005002,6.14005002
21,21,30,0,0.52,1,0,1,1,1,0,1,0,1,0,0,44103.9841,0,-17900.922,-17900.922,0.0,139187.5874,689121.12,761841.1,0.0,4.535947053733334,4.535947053733334
22,22,30,0,0.52,1,0,1,1,1,0,1,0,0,1,0,47513.5516,0,-19058.5508,-19058.5508,0.0,149168.9532,689121.12,776320.8747,0.0,4.859722417766668,4.859722417766668
23,23,30,0,0.52,1,0,1,1,1,0,1,0,0,0,0,28409.6756,0,-18989.5305,-18989.5305,0.0,107056.0004,689121.12,751739.9193,0.0,3.5519658958333333,3.5519658958333333
24,24,30,0,0.52,1,0,1,1,1,0,0,1,1,1,0,42141.329,0,-19548.4586,-19548.4586,0.0,139403.5533,689121.12,767613.0643,0.0,4.4818101163333335,4.4818101163333335
25,25,30,0,0.52,1,0,1,1,1,0,0,1,1,0,0,23138.1834,0,-19508.5313,-19508.5313,0.0,97290.6005,689121.12,743032.1089,0.0,2.960561493066667,2.960561493066667
26,26,30,0,0.52,1,0,1,1,1,0,0,1,0,1,0,23138.1834,0,-19508.5313,-19508.5313,0.0,107271.9663,689121.12,757511.8835,0.0,3.2698468924333337,3.2698468924333337
27,27,30,0,0.52,1,0,1,1,1,0,0,1,0,0,0,7750.3291,0,-20054.1241,-20054.1241,0.0,65159.0135,689121.12,732930.9281,0.0,1.8417524666666667,1.8417524666666667
28,28,30,0,0.52,1,0,1,1,1,0,0,0,1,1,0,7750.3291,0,-20054.1241,-20054.1241,0.0,111779.6624,689121.12,745222.7332,0.0,3.3693158893333335,3.3693158893333335
29,29,30,0,0.52,1,0,1,1,1,0,0,0,1,0,0,10094.8477,0,-18124.193,-18124.193,0.0,69666.7096,689121.12,720641.7778,0.0,1.9655652947666666,1.9655652947666666
30,30,30,0,0.52,1,0,1,1,1,0,0,0,0,1,0,13329.8175,0,-19445.7594,-19445.7594,0.0,79648.0755,689121.12,735121.5525,0.0,2.2567019375333333,2.2567019375333333
31,31,30,0,0.52,1,0,1,1,1,0,0,0,0,0,0,-3638.7436,0,-17223.8299,-17223.8299,0.0,37535.1227,689121.12,710540.5971,0.0,0.8225021423666667,0.8225021423666667
