,ID,D,E_Brent,BE_F,Water_Injected_opex,Opt_ActivacionBasica_a_ab,Opt_Activacion_e1,Opt_Activacion_e2,Opt_Activacion_e3,Opt_Activacion_e4,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,Volumenes
0,0,1,55,55.0,0.06,0,0,0,0,0,0,0,0,0,0,0.0,0,209877.2954,209877.2954,0.0
1,1,1,55,55.0,0.155,0,0,0,0,0,0,0,0,0,0,0.0,0,209877.2954,209877.2954,0.0
2,2,1,55,55.0,0.25,0,0,0,0,0,0,0,0,0,0,0.0,0,209877.2954,209877.2954,0.0
3,3,1,55,55.0,0.345,0,0,0,0,0,0,0,0,0,0,0.0,0,209877.2954,209877.2954,0.0
4,4,1,55,55.0,0.43,0,0,0,0,0,0,0,0,0,0,0.0,0,209877.2954,209877.2954,0.0
5,5,1,55,74.62314190040702,0.06,0,0,0,0,1,0,-49599.5118,0,0,0,3.677755671742881e-10,628824.3134,209877.2954,905959.0539,32.89761992000001
6,6,1,55,76.1991554412807,0.155,0,0,0,0,1,0,-52860.0557,0,0,0,0.0,628824.3134,209877.2954,962178.052,32.89761992000001
7,7,1,55,77.77516903422041,0.25,0,0,0,0,1,0,-56091.0573,0,0,0,0.0,628824.3134,209877.2954,1018397.05,32.89761992000001
8,8,1,55,79.35118262571856,0.345,0,0,0,0,1,0,-59290.0673,0,0,0,1.3620759596075617e-10,628824.3134,209877.2954,1074616.048,32.89761992000001
9,9,1,55,27.5,0.43,0,0,0,0,1,0,-62140.8527,0,0,0,0.0,628824.3134,209877.2954,1124917.2567,32.89761992000001
10,10,1,55,52.90822336281292,0.06,0,0,0,1,0,0,-14853.599,0,0,0,3.6329339593170576e-11,963486.2668,209877.2954,1449439.9823,65.71882609600006
11,11,1,55,54.19684060936625,0.155,0,0,0,1,0,0,-23513.0308,0,0,0,0.0,963486.2668,209877.2954,1558114.2004,65.71882609600006
12,12,1,55,55.482384575310434,0.25,0,0,0,1,0,0,-32353.9649,0,0,0,0.0,963486.2668,209877.2954,1666788.4186,65.71882609600006
13,13,1,55,56.765742738264265,0.345,0,0,0,1,0,0,-40864.1667,0,0,0,0.0,963486.2668,209877.2954,1775462.6367,65.71882609600006
14,14,1,55,57.877154379481674,0.43,0,0,0,1,0,0,-48443.7882,0,0,0,9.001252166942658e-11,963486.2668,209877.2954,1872697.4635,65.71882609600006
15,15,1,55,58.074441149085104,0.06,0,0,0,1,1,0,-61074.9805,0,0,0,0.01262150765142117,1592310.5802,209877.2954,2145521.7408,98.61644601600007
16,16,1,55,59.4324838133687,0.155,0,0,0,1,1,0,-73056.1644,0,0,0,0.012125372272494427,1592310.5802,209877.2954,2310414.9569,98.61644601600007
17,17,1,55,60.81246650023366,0.25,0,0,0,1,1,0,-85279.2582,0,0,0,0.013135970681494651,1592310.5802,209877.2954,2475308.1731,98.61644601600007
18,18,1,55,62.15478606127442,0.345,0,0,0,1,1,0,-97070.6051,0,0,0,0.01245297276649274,1592310.5802,209877.2954,2640201.3893,98.61644601600007
19,19,1,55,63.35118479870749,0.43,0,0,0,1,1,0,-107587.695,0,0,0,0.01164185389917553,1592310.5802,209877.2954,2787737.4248,98.61644601600007
20,20,1,55,47.238429884302164,0.06,0,0,1,0,0,0,14003.4835,0,0,0,0.0,370746.688,209877.2954,686182.1766,26.87694643199999
21,21,1,55,48.604852397363146,0.155,0,0,1,0,0,0,8418.0527,0,0,0,5.3548172277348544e-11,370746.688,209877.2954,744773.1017,26.87694643199999
22,22,1,55,49.96072227749472,0.25,0,0,1,0,0,0,3058.7466,0,0,0,0.0,370746.688,209877.2954,803364.0268,26.87694643199999
23,23,1,55,51.3069304335091,0.345,0,0,1,0,0,0,-2213.6404,0,0,0,0.0,370746.688,209877.2954,861954.9519,26.87694643199999
24,24,1,55,52.510639056195785,0.43,0,0,1,0,0,0,-7076.3227,0,0,0,0.0,370746.688,209877.2954,914378.4112,26.87694643199999
25,25,1,55,56.61036178723689,0.06,0,0,1,0,1,0,-31501.0198,0,0,0,0.020227258441511204,999571.0014,209877.2954,1382263.935,59.774566352
26,26,1,55,58.117736942474686,0.155,0,0,1,0,1,0,-40426.535,0,0,0,0.020747570757881424,999571.0014,209877.2954,1497073.8582,59.774566352
27,27,1,55,59.6169429985347,0.25,0,0,1,0,1,0,-49501.6081,0,0,0,0.021137776479747496,999571.0014,209877.2954,1611883.7813,59.774566352
28,28,1,55,61.10834950300052,0.345,0,0,1,0,1,0,-58275.8041,0,0,0,0.021392241261860893,999571.0014,209877.2954,1726693.7044,59.774566352
29,29,1,55,62.44897668500824,0.43,0,0,1,0,1,0,-66088.7066,0,0,0,0.02274307316770963,999571.0014,209877.2954,1829418.3725,59.774566352
30,30,1,55,50.400091517188244,0.06,0,0,1,1,0,0,3636.7535,0,0,0,0.0,1334232.9548,209877.2954,1925744.8634,92.59577252800005
31,31,1,55,51.736198462181584,0.155,0,0,1,1,0,0,-10630.7367,0,0,0,1.0078247120362311e-10,1334232.9548,209877.2954,2093010.0066,92.59577252800005
32,32,1,55,53.06794897902255,0.25,0,0,1,1,0,0,-25120.7268,0,0,0,7.347271689048837e-11,1334232.9548,209877.2954,2260275.1499,92.59577252800005
33,33,1,55,54.39551874786928,0.345,0,0,1,1,0,0,-39101.5144,0,0,0,6.728516127221104e-11,1334232.9548,209877.2954,2427540.2931,92.59577252800005
34,34,1,55,55.54600666552317,0.43,0,0,1,1,0,0,-51525.6911,0,0,0,0.0,1334232.9548,209877.2954,2577198.5792,92.59577252800005
35,35,1,55,55.31996770929187,0.06,0,0,1,1,1,0,-50034.1974,0,0,0,0.03610736239934051,1963057.2682,209877.2954,2621826.6219,125.49339244800007
36,36,1,55,56.707441494064206,0.155,0,0,1,1,1,0,-65511.9142,0,0,0,0.03594430147441247,1963057.2682,209877.2954,2845310.7632,125.49339244800007
37,37,1,55,58.08496384630134,0.25,0,0,1,1,1,0,-80634.9444,0,0,0,0.03560357830992255,1963057.2682,209877.2954,3068794.9044,125.49339244800007
38,38,1,55,59.452411752914564,0.345,0,0,1,1,1,0,-96205.1329,0,0,0,0.03507680752865162,1963057.2682,209877.2954,3292279.0457,125.49339244800007
39,39,1,55,60.663969914618356,0.43,0,0,1,1,1,0,-111386.8279,0,0,0,0.034208256596312096,1963057.2682,209877.2954,3492238.5405,125.49339244800007
40,40,1,55,22.404053676676728,0.06,0,1,0,0,0,0,219302.4015,0,0,0,4.0556635285166484e-10,311962.2868,209877.2954,633610.7035,63.26044042978151
41,41,1,55,23.799849270141337,0.155,0,1,0,0,0,0,209617.0755,0,0,0,4.09277671513719e-10,311962.2868,209877.2954,754666.1973,63.26044042978151
42,42,1,55,25.171200841460582,0.25,0,1,0,0,0,0,199877.0786,0,0,0,0.0,311962.2868,209877.2954,875721.691,63.26044042978151
43,43,1,55,26.535377120122938,0.345,0,1,0,0,0,0,190078.5491,0,0,0,3.401224192487384e-10,311962.2868,209877.2954,996777.1847,63.26044042978151
44,44,1,55,27.740243123209126,0.43,0,1,0,0,0,0,181253.2602,0,0,0,8.445881871967006e-11,311962.2868,209877.2954,1105089.9949,63.26044042978151
45,45,1,55,31.965679453816282,0.06,0,1,0,0,1,0,173928.3568,0,0,0,0.040004965729390385,940786.6002,209877.2954,1329692.462,96.15806034978152
46,46,1,55,33.41500292492658,0.155,0,1,0,0,1,0,161307.6321,0,0,0,0.041363272788954984,940786.6002,209877.2954,1506966.9538,96.15806034978152
47,47,1,55,34.825264490354954,0.25,0,1,0,0,1,0,148433.9652,0,0,0,0.040085794281215496,940786.6002,209877.2954,1684241.4455,96.15806034978152
