,ID,E_Brent,BE_F,PP,BR,AR,WO,NW,opt_C,opt_I,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE,volumen_B_LE_p,volumen_I_LE_p,volumen_T_LE_p,LE_year_p,LE_year_b,lc_p,lc_b,dc_p,dc_b,opex_ing_p,capex_ing_p,impuesto_ing_p,ingreso_ing_p,abandono_ing_p,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b
0,0,25,21.7508042,0.52,0,1,1,0,1,1,0,56840.7095,0,0,0,0.017503388,94775.9959,0,79089.0532,0,5.293127669,5.293127669,0,5.715221515,5.715221515,2052,2041,4.8522,3.288,7.3231,7.9071,7908.4081,35143.9431,20782.6453,120675.7059,0,6968.7987,35143.9431,615.139,42727.8808,0
1,1,25,21.12014288,0.52,0,1,1,0,1,0,0,48235.6203,0,0,0,0.017489717,75590.342,0,71702.6502,0,4.386390342,4.386390342,0,4.772325986,4.772325986,2051,2040,5.0578,3.3787,6.9946,7.6101,7067.0804,28020.7231,17761.591,101085.0147,0,6134.5733,28020.7231,490.0794,34645.3757,0
2,2,25,23.88880148,0.52,0,1,1,0,0,1,0,8587.4811,0,0,0,0.017654181,19185.6538,0,11575.3781,0,0.904633499,0.904633499,0,0.947636846,0.947636846,2061,2048,3.6999,2.63,8.9405,9.3655,822.523,7123.22,3050.654,19583.8781,0,772.567,7123.22,125.7508,8021.5377,0
3,3,25,25,0.52,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4188.9751,0,0,0,0,0,0,2021,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,25,52.07219433,0.52,0,1,0,1,1,1,0,-14049.9495,0,0,0,0,307102.9882,0,626053.7114,0,0,0,0,6.74375078,6.74375078,2041,2021,15.3001,0,20.11,0,36778.0255,92801.3929,1512.2165,119533.3203,2491.6348,0,0,0,0,0
5,5,25,12.5,0.52,0,1,0,1,1,0,0,-7277.9493,0,0,0,0,145004.5882,0,300256.6281,0,0,0,0,2.953772153,2.953772153,2039,2021,14.7794,0,21.6787,0,17118.1406,45439.1487,524.5948,57532.2588,1728.3238,0,0,0,0,0
6,6,25,12.5,0.52,0,1,0,1,0,1,0,-6569.8918,0,0,0,0,162098.4,0,329986.0584,0,0,0,0,3.753304848,3.753304848,2042,2021,15.1957,0,19.0719,0,19184.6433,47362.2442,734.3941,61677.9971,966.6073,0,0,0,0,0
7,7,25,25,0.52,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4188.9751,0,0,0,0,0,0,2021,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,25,39.35761108,0.52,0,1,1,1,1,1,0,50317.6552,0,0,0,0.054059385,401878.984,0,700953.7895,0,11.80497484,11.80497484,0,12.41538782,12.41538782,2043,2040,10.8563,9.5998,14.2853,15.0234,45657.1218,127945.336,14447.7162,240427.0314,2059.2023,42640.3914,127945.336,6916.628,180243.1537,2740.7983
9,9,25,34.37368347,0.52,0,1,1,1,1,0,0,46483.0249,0,0,0,0.040620173,220594.9302,0,367770.3032,0,7.137441101,7.137441101,0,7.718308139,7.718308139,2043,2038,9.4082,7.5465,12.6213,13.6484,25323.8875,73459.8718,12711.3619,159158.6145,1180.4684,22407.3359,73459.8718,2983.9579,100752.3219,1901.1562
