,ID,E_Brent,C_polimero,PPM,Costo_Kw_hr,BE_F,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE
0,0,21,2.5,500,214,17.36877089,0,266768.1301,0,0,0,0,139704.6593,0,447282.8101,0,35.94312712,35.94312712
1,1,21,2.5,500,244,17.6896897,0,264562.8197,0,0,0,1.40E-09,139704.6593,0,464367.3602,0,35.94312712,35.94312712
2,2,21,2.5,500,274,18.01060851,0,262357.5092,0,0,0,1.07E-09,139704.6593,0,481451.9102,0,35.94312712,35.94312712
3,3,21,2.5,500,304,18.33152731,0,260152.1988,0,0,0,3.63E-11,139704.6593,0,498536.4602,0,35.94312712,35.94312712
4,4,21,2.5,600,214,17.91362957,0,263013.608,0,0,0,1.50E-09,139704.6593,0,475948.8094,0,35.94312712,35.94312712
5,5,21,2.5,600,244,18.23454837,0,260808.2975,0,0,0,0,139704.6593,0,493033.3594,0,35.94312712,35.94312712
6,6,21,2.5,600,274,18.55546718,0,258602.9871,0,0,0,0,139704.6593,0,510117.9094,0,35.94312712,35.94312712
7,7,21,2.5,600,304,18.87638598,0,256397.6767,0,0,0,0,139704.6593,0,527202.4595,0,35.94312712,35.94312712
8,8,21,2.5,700,214,18.45848824,0,259259.0858,0,0,0,0,139704.6593,0,504614.8086,0,35.94312712,35.94312712
9,9,21,2.5,700,244,18.77940705,0,257053.7754,0,0,0,0,139704.6593,0,521699.3586,0,35.94312712,35.94312712
10,10,21,2.5,700,274,19.10032585,0,254848.465,0,0,0,4.66E-10,139704.6593,0,538783.9087,0,35.94312712,35.94312712
11,11,21,2.5,700,304,19.42124467,0,252631.0129,0,0,0,1.46E-09,139704.6593,0,555868.4587,0,35.94312712,35.94312712
12,12,21,2.5,800,214,19.00334691,0,255504.5637,0,0,0,9.17E-11,139704.6593,0,533280.8078,0,35.94312712,35.94312712
13,13,21,2.5,800,244,19.32426572,0,253295.3088,0,0,0,6.14E-10,139704.6593,0,550365.3579,0,35.94312712,35.94312712
14,14,21,2.5,800,274,19.64518452,0,251059.2667,0,0,0,0,139704.6593,0,567449.9079,0,35.94312712,35.94312712
15,15,21,2.5,800,304,19.96610333,0,248823.2246,0,0,0,3.90E-10,139704.6593,0,584534.4579,0,35.94312712,35.94312712
16,16,21,3.2,500,214,18.13157304,0,261511.7991,0,0,0,9.35E-10,139704.6593,0,487415.209,0,35.94312712,35.94312712
17,17,21,3.2,500,244,18.45249185,0,259306.4887,0,0,0,1.17E-09,139704.6593,0,504499.7591,0,35.94312712,35.94312712
18,18,21,3.2,500,274,18.77341065,0,257101.1782,0,0,0,5.04E-10,139704.6593,0,521584.3091,0,35.94312712,35.94312712
19,19,21,3.2,500,304,19.09432945,0,254895.8678,0,0,0,0,139704.6593,0,538668.8591,0,35.94312712,35.94312712
20,20,21,3.2,600,214,18.82899213,0,256706.0108,0,0,0,0,139704.6593,0,524107.6881,0,35.94312712,35.94312712
21,21,21,3.2,600,244,19.14991095,0,254500.7003,0,0,0,1.36E-09,139704.6593,0,541192.2381,0,35.94312712,35.94312712
22,22,21,3.2,600,274,19.47082975,0,252277.759,0,0,0,7.64E-10,139704.6593,0,558276.7881,0,35.94312712,35.94312712
23,23,21,3.2,600,304,19.79174855,0,250041.7169,0,0,0,0,139704.6593,0,575361.3382,0,35.94312712,35.94312712
24,24,21,3.2,700,214,19.52641123,0,251875.8741,0,0,0,0,139704.6593,0,560800.1671,0,35.94312712,35.94312712
25,25,21,3.2,700,244,19.84733004,0,249639.832,0,0,0,0,139704.6593,0,577884.7171,0,35.94312712,35.94312712
26,26,21,3.2,700,274,20.16824885,0,247403.7899,0,0,0,1.23E-10,139704.6593,0,594969.2671,0,35.94312712,35.94312712
27,27,21,3.2,700,304,20.48916766,0,245167.7478,0,0,0,0,139704.6593,0,612053.8172,0,35.94312712,35.94312712
28,28,21,3.2,800,214,20.22383033,0,247001.9051,0,0,0,0,139704.6593,0,597492.6461,0,35.94312712,35.94312712
29,29,21,3.2,800,244,20.54474915,0,244765.8629,0,0,0,0,139704.6593,0,614577.1961,0,35.94312712,35.94312712
30,30,21,3.2,800,274,20.86566796,0,242529.8208,0,0,0,1.11E-09,139704.6593,0,631661.7462,0,35.94312712,35.94312712
31,31,21,3.2,800,304,11.91231568,0,240293.7787,0,-8069.8509,-8069.8509,0,139704.6593,0,648746.2962,0,0.043410423,0.043410423
32,32,21,3.9,500,214,18.89437518,0,256255.4681,0,0,0,7.59E-10,139704.6593,0,527547.608,0,35.94312712,35.94312712
33,33,21,3.9,500,244,19.21529398,0,254050.1577,0,0,0,2.01E-11,139704.6593,0,544632.158,0,35.94312712,35.94312712
34,34,21,3.9,500,274,19.53621279,0,251820.8244,0,0,0,0,139704.6593,0,561716.708,0,35.94312712,35.94312712
35,35,21,3.9,500,304,19.8571316,0,249584.7823,0,0,0,0,139704.6593,0,578801.2581,0,35.94312712,35.94312712
36,36,21,3.9,600,214,19.74435471,0,250352.7588,0,0,0,1.25E-09,139704.6593,0,572266.5668,0,35.94312712,35.94312712
37,37,21,3.9,600,244,20.06527352,0,248116.7167,0,0,0,1.04E-09,139704.6593,0,589351.1168,0,35.94312712,35.94312712
38,38,21,3.9,600,274,20.38619233,0,245880.6746,0,0,0,1.30E-09,139704.6593,0,606435.6668,0,35.94312712,35.94312712
39,39,21,3.9,600,304,20.70711113,0,243644.6325,0,0,0,7.66E-10,139704.6593,0,623520.2169,0,35.94312712,35.94312712
40,40,21,3.9,700,214,20.59433423,0,244412.609,0,0,0,0,139704.6593,0,616985.5256,0,35.94312712,35.94312712
41,41,21,3.9,700,244,20.91525304,0,242176.5669,0,0,0,0,139704.6593,0,634070.0756,0,35.94312712,35.94312712
42,42,21,3.9,700,274,11.62919764,0,239940.5248,0,-8100.8708,-8100.8708,0,139704.6593,0,651154.6256,0,0.043410423,0.043410423
43,43,21,3.9,700,304,11.29026195,0,237704.4827,0,-8204.4478,-8204.4478,0,139704.6593,0,668239.1757,0,0.043410423,0.043410423
44,44,21,3.9,800,214,11.32317662,0,238472.4592,0,-8185.6224,-8185.6224,0,139704.6593,0,661704.4844,0,0.043410423,0.043410423
45,45,21,3.9,800,244,11.26443751,0,236236.4171,0,-8278.5298,-8278.5298,0,139704.6593,0,678789.0344,0,0.043410423,0.043410423
46,46,21,3.9,800,274,-36.45067433,0,234000.375,0,-10186.1441,-10186.1441,0,139704.6593,0,695873.5844,0,0.043410423,0.043410423
47,47,21,3.9,800,304,-7.261264107,0,231764.3329,0,-9165.3113,-9165.3113,0,139704.6593,0,712958.1345,0,0.043410423,0.043410423
48,48,21,4.6,500,214,19.65717732,0,250962.0049,0,0,0,0,139704.6593,0,567680.0069,0,35.94312712,35.94312712
49,49,21,4.6,500,244,19.97809613,0,248725.9628,0,0,0,5.21E-10,139704.6593,0,584764.5569,0,35.94312712,35.94312712
50,50,21,4.6,500,274,20.29901493,0,246489.9207,0,0,0,0,139704.6593,0,601849.107,0,35.94312712,35.94312712
51,51,21,4.6,500,304,20.61993374,0,244253.8786,0,0,0,7.72E-10,139704.6593,0,618933.657,0,35.94312712,35.94312712
52,52,21,4.6,600,214,20.94085254,0,243955.6744,0,0,0,1.62E-09,139704.6593,0,620425.4455,0,35.94312712,35.94312712
53,53,21,4.6,600,244,21.26177135,0,241719.6323,0,0,0,7.23E-10,139704.6593,0,637509.9955,0,35.94312712,35.94312712
54,54,21,4.6,600,274,21.58269015,0,239483.5902,0,-8127.0924,-8127.0924,0,139704.6593,0,654594.5456,0,0.043410423,0.043410423
55,55,21,4.6,600,304,21.90360897,0,237247.5481,0,-8224.428,-8224.428,0,139704.6593,0,671679.0956,0,0.043410423,0.043410423
56,56,21,4.6,700,214,22.22452777,0,236949.3438,0,-8252.6571,-8252.6571,0,139704.6593,0,673170.8841,0,0.043410423,0.043410423
57,57,21,4.6,700,244,22.54544658,0,234713.3017,0,-8827.7432,-8827.7432,0,139704.6593,0,690255.4341,0,0.043410423,0.043410423
58,58,21,4.6,700,274,22.86636538,0,232477.2596,0,-9312.0365,-9312.0365,0,139704.6593,0,707339.9841,0,0.043410423,0.043410423
59,59,21,4.6,700,304,23.18728419,0,230241.2175,0,-9026.199,-9026.199,0,139704.6593,0,724424.5342,0,0.043410423,0.043410423
60,60,21,4.6,800,214,23.50820299,0,229943.0133,0,-9031.2432,-9031.2432,0,139704.6593,0,725916.3227,0,0.043410423,0.043410423
61,61,21,4.6,800,244,23.8291218,0,227706.9712,0,-8985.0608,-8985.0608,0,139704.6593,0,743000.8727,0,0.043410423,0.043410423
62,62,21,4.6,800,274,24.1500406,0,225470.9291,0,-9000.6261,-9000.6261,0,139704.6593,0,760085.4227,0,0.043410423,0.043410423
63,63,21,4.6,800,304,24.47095942,0,223234.887,0,-9043.7616,-9043.7616,0,139704.6593,0,777169.9728,0,0.043410423,0.043410423
64,64,21,5.3,500,214,20.41997946,0,245631.1012,0,0,0,0,139704.6593,0,607812.4058,0,35.94312712,35.94312712
65,65,21,5.3,500,244,20.74089827,0,243395.0591,0,0,0,3.41E-10,139704.6593,0,624896.9559,0,35.94312712,35.94312712
66,66,21,5.3,500,274,21.06181707,0,241159.017,0,0,0,0,139704.6593,0,641981.5059,0,35.94312712,35.94312712
