,ID,E_Brent,PP,BR,AR,WO,NW,opt_C,opt_I,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE,volumen_B_LE_p,volumen_I_LE_p,volumen_T_LE_p,LE_year_p,LE_year_b,lc_p,lc_b,dc_p,dc_b,opex_ing_p,capex_ing_p,impuesto_ing_p,ingreso_ing_p,abandono_ing_p,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b
0,0,20,0.52,0,1,1,0,1,1,0,56840.7095,0,-4069.7713,-4069.7713,0.0,94775.9959,0,79089.0532,0.0,5.227588665601861,5.227588665601861,0.0,5.7152215151558865,5.7152215151558865,2052.0,2040.0,4.8522,3.1493,7.3231,8.0062,7908.4081,35143.9431,20782.6453,120675.7059,0,0,0,0,0,0
1,1,25,0.52,0,1,1,0,1,1,0,56840.7095,0,8560.8492,8560.8492,0.2801655602285272,94775.9959,0,79089.0532,0.0,5.405287768587207,5.405287768587207,0.0,5.7152215151558865,5.7152215151558865,2052.0,2043.0,4.8522,3.5674,7.3231,7.743,7908.4081,35143.9431,20782.6453,120675.7059,0,0,0,0,0,0
2,2,30,0.52,0,1,1,0,1,1,0,56840.7095,0,19108.4447,19108.4447,0.6663988047570556,94775.9959,0,79089.0532,0.0,5.497328755600756,5.497328755600756,0.0,5.7152215151558865,5.7152215151558865,2052.0,2045.0,4.8522,3.8497,7.3231,7.6133,7908.4081,35143.9431,20782.6453,120675.7059,0,0,0,0,0,0
3,3,35,0.535,0,1,1,0,1,1,0,56840.7095,0,30106.675,30106.675,1.1131146925054638,94775.9959,0,79089.0532,0.0,5.73428418976233,5.73428418976233,0.0,5.7152215151558865,5.7152215151558865,2052.0,2047.0,4.8522,4.1337,7.3231,7.2987,7908.4081,35143.9431,20782.6453,120675.7059,0,0,0,0,0,0
4,4,40,0.555,0,1,1,0,1,1,0,56840.7095,0,42160.1773,42160.1773,1.6064570826712967,94775.9959,0,79089.0532,0.0,6.016831528667753,6.016831528667753,0.0,5.7152215151558865,5.7152215151558865,2052.0,2049.0,4.8522,4.42,7.3231,6.956,7908.4081,35143.9431,20782.6453,120675.7059,0,0,0,0,0,0
5,5,45,0.5700000000000001,0,1,1,0,1,1,0,56840.7095,0,54342.1395,54342.1395,2.102967074588956,94775.9959,0,79089.0532,0.0,6.210203445170412,6.210203445170412,0.0,5.7152215151558865,5.7152215151558865,2052.0,2050.0,4.8522,4.5635,7.3231,6.7394,7908.4081,35143.9431,20782.6453,120675.7059,0,0,0,0,0,0
6,6,50,0.5700000000000001,0,1,1,0,1,1,0,56840.7095,0,64732.7019,64732.7019,2.529412251726859,94775.9959,0,79089.0532,0.0,6.264762045459336,6.264762045459336,0.0,5.7152215151558865,5.7152215151558865,2052.0,2052.0,4.8522,4.8522,7.3231,6.6807,7908.4081,35143.9431,20782.6453,120675.7059,0,0,0,0,0,0
7,7,55,0.5900000000000001,0,1,1,0,1,1,0,56840.7095,0,78604.6855,78604.6855,3.0948978913500014,94775.9959,0,79089.0532,0.0,6.509615461964578,6.509615461964578,0.0,5.7152215151558865,5.7152215151558865,2052.0,2053.0,4.8522,4.9968,7.3231,6.4294,7908.4081,35143.9431,20782.6453,120675.7059,0,0,0,0,0,0
8,8,60,0.5900000000000001,0,1,1,0,1,1,0,56840.7095,0,89389.278,89389.278,3.536740026043786,94775.9959,0,79089.0532,0.0,6.554343460075893,6.554343460075893,0.0,5.7152215151558865,5.7152215151558865,2052.0,2055.0,4.8522,5.287,7.3231,6.3855,7908.4081,35143.9431,20782.6453,120675.7059,0,0,0,0,0,0
9,9,20,0.52,0,1,1,0,1,0,0,48235.6203,0,-2403.0546,-2403.0546,0.0,75590.342,0,71702.6502,0.0,4.325182637144252,4.325182637144252,0.0,4.772325986217997,4.772325986217997,2051.0,2039.0,5.0578,3.2298,6.9946,7.7178,7067.0804,28020.7231,17761.591,101085.0147,0,0,0,0,0,0
