,ID,E_Brent,Opt_Basica,PP,BR,AR,WO,NW,opt_CE,opt_CN,opt_CS,opt_IC,opt_IN,opt_IS,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE
0,0,20,0,0.52,1,0,1,1,1,1,1,1,1,1,0,92275.6617,0,-76045.6947,-76045.6947,0.0,258069.7285,0,448934.3138,0.0,7.121311016733333,7.121311016733333
1,1,25,0,0.52,1,0,1,1,1,1,1,1,1,1,0,92275.6617,0,-50376.7743,-50376.7743,0.0,258069.7285,0,448934.3138,0.0,8.288899087733334,8.288899087733334
2,2,30,0,0.52,1,0,1,1,1,1,1,1,1,1,0,92275.6617,0,-23508.2391,-23508.2391,0.0,258069.7285,0,448934.3138,0.0,8.742848492733334,8.742848492733334
3,3,35,0,0.535,1,0,1,1,1,1,1,1,1,1,0,92275.6617,0,7838.6075,7838.6075,0.0758570021011008,258069.7285,0,448934.3138,0.0,9.74856176284167,9.74856176284167
4,4,40,0,0.555,1,0,1,1,1,1,1,1,1,1,0,92275.6617,0,42376.6454,42376.6454,0.4100939227440431,258069.7285,0,448934.3138,0.0,10.4208048338375,10.4208048338375
5,5,45,0,0.5700000000000001,1,0,1,1,1,1,1,1,1,1,0,92275.6617,0,77578.6022,77578.6022,0.750755822441174,258069.7285,0,448934.3138,0.0,10.702448207725002,10.702448207725002
6,6,50,0,0.5700000000000001,1,0,1,1,1,1,1,1,1,1,0,92275.6617,0,109257.8559,109257.8559,1.0573272682497696,258069.7285,0,448934.3138,0.0,10.956440328850002,10.956440328850002
7,7,55,0,0.5900000000000001,1,0,1,1,1,1,1,1,1,1,0,92275.6617,0,149420.3983,149420.3983,1.4459945254650304,258069.7285,0,448934.3138,0.0,11.340876831616667,11.340876831616667
8,8,60,0,0.5900000000000001,1,0,1,1,1,1,1,1,1,1,0,92275.6617,0,182055.5455,182055.5455,1.761816493073006,258069.7285,0,448934.3138,0.0,11.340876831616667,11.340876831616667
9,9,20,0,0.52,1,0,1,0,1,1,1,1,1,1,0,46477.0608,0,-39051.5739,-39051.5739,0.0,133981.4573,0,315918.5652,0.0,3.7535100772,3.7535100772
10,10,25,0,0.52,1,0,1,0,1,1,1,1,1,1,0,46477.0608,0,-25916.4169,-25916.4169,0.0,133981.4573,0,315918.5652,0.0,4.0829981322,4.0829981322
11,11,30,0,0.52,1,0,1,0,1,1,1,1,1,1,0,46477.0608,0,-11965.7312,-11965.7312,0.0,133981.4573,0,315918.5652,0.0,4.0829981322,4.0829981322
12,12,35,0,0.535,1,0,1,0,1,1,1,1,1,1,0,46477.0608,0,4146.3044,4146.3044,0.07635638465296354,133981.4573,0,315918.5652,0.0,4.464564976775,4.464564976775
13,13,40,0,0.555,1,0,1,0,1,1,1,1,1,1,0,46477.0608,0,22170.332,22170.332,0.4082783697796555,133981.4573,0,315918.5652,0.0,4.8526091458875005,4.8526091458875005
14,14,45,0,0.5700000000000001,1,0,1,0,1,1,1,1,1,1,0,46477.0608,0,40801.4695,40801.4695,0.7513806031745942,133981.4573,0,315918.5652,0.0,5.172535952175,5.172535952175
