,ID,E_Brent,Opt_Basica,PP,BR,AR,WO,NW,opt_CE,opt_CN,opt_CS,opt_IC,opt_IN,opt_IS,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE
0,0,20,0,0.52,1,0,1,1,1,1,1,1,1,1,0,110940.0218,0,-54561.085,-54561.085,0.0,258069.7285,209877.2954,356099.7108,0.0,9.134293278066666,9.134293278066666
1,1,20,0,0.52,1,0,1,1,1,1,1,1,1,0,0,93109.0706,0,-46243.1521,-46243.1521,0.0,215956.7757,209877.2954,331518.7554,0.0,7.719193468133334,7.719193468133334
2,2,20,0,0.52,1,0,1,1,1,1,1,1,0,1,0,96032.9754,0,-49505.3777,-49505.3777,0.0,225938.1415,209877.2954,345998.5301,0.0,8.065268434166667,8.065268434166667
3,3,20,0,0.52,1,0,1,1,1,1,1,1,0,0,0,78330.9144,0,-41208.4273,-41208.4273,0.0,183825.1887,209877.2954,321417.5747,0.0,6.650168624233333,6.650168624233333
4,4,20,0,0.52,1,0,1,1,1,1,1,0,1,1,0,98287.1359,0,-48828.7515,-48828.7515,0.0,230445.8376,209877.2954,333709.3798,0.0,8.099501589399999,8.099501589399999
5,5,20,0,0.52,1,0,1,1,1,1,1,0,1,0,0,80534.4718,0,-40528.3085,-40528.3085,0.0,188332.8848,209877.2954,309128.4244,0.0,6.684401779466667,6.684401779466667
6,6,20,0,0.52,1,0,1,1,1,1,1,0,0,1,0,83336.7989,0,-43782.6333,-43782.6333,0.0,198314.2507,209877.2954,323608.199,0.0,7.0304767455000015,7.0304767455000015
7,7,20,0,0.52,1,0,1,1,1,1,1,0,0,0,0,65572.86,0,-35660.3756,-35660.3756,0.0,156201.2979,209877.2954,299027.2436,0.0,5.372185879233334,5.372185879233334
8,8,20,0,0.52,1,0,1,1,1,1,0,1,1,1,0,78294.2539,0,-41855.0627,-41855.0627,0.0,188548.8508,209877.2954,314900.3886,0.0,6.635892412066667,6.635892412066667
9,9,20,0,0.52,1,0,1,1,1,1,0,1,1,0,0,60517.6331,0,-33582.1345,-33582.1345,0.0,146435.898,209877.2954,290319.4332,0.0,5.220792602133335,5.220792602133335
10,10,20,0,0.52,1,0,1,1,1,1,0,1,0,1,0,63480.8319,0,-36952.3832,-36952.3832,0.0,156417.2638,209877.2954,304799.2079,0.0,5.3198398629999994,5.3198398629999994
11,11,20,0,0.52,1,0,1,1,1,1,0,1,0,0,0,45683.9958,0,-28607.9449,-28607.9449,0.0,114304.311,209877.2954,280218.2525,0.0,3.9542683630666664,3.9542683630666664
12,12,20,0,0.52,1,0,1,1,1,1,0,0,1,1,0,65651.0426,0,-36256.0389,-36256.0389,0.0,160924.9599,209877.2954,292510.0576,0.0,5.3742506562333325,5.3742506562333325
13,13,20,0,0.52,1,0,1,1,1,1,0,0,1,0,0,47743.0248,0,-27911.6006,-27911.6006,0.0,118812.0071,209877.2954,267929.1022,0.0,4.0086791563,4.0086791563
14,14,20,0,0.52,1,0,1,1,1,1,0,0,0,1,0,50706.2236,0,-31140.6805,-31140.6805,0.0,128793.373,209877.2954,282408.8768,0.0,4.344499702833334,4.344499702833334
15,15,20,0,0.52,1,0,1,1,1,1,0,0,0,0,0,32909.3876,0,-22828.7952,-22828.7952,0.0,86680.4202,209877.2954,257827.9214,0.0,2.8197040339,2.8197040339
16,16,20,0,0.52,1,0,1,1,1,0,1,1,1,1,0,88787.6535,0,-45292.0736,-45292.0736,0.0,208924.431,209877.2954,329568.5619,0.0,7.427759540500001,7.427759540500001
17,17,20,0,0.52,1,0,1,1,1,0,1,1,1,0,0,71050.8967,0,-37006.3017,-37006.3017,0.0,166811.4782,209877.2954,304987.6065,0.0,6.012659730566666,6.012659730566666
18,18,20,0,0.52,1,0,1,1,1,0,1,1,0,1,0,74003.5972,0,-40416.4687,-40416.4687,0.0,176792.844,209877.2954,319467.3812,0.0,6.085639226766667,6.085639226766667
19,19,20,0,0.52,1,0,1,1,1,0,1,1,0,0,0,56217.2594,0,-32068.648,-32068.648,0.0,134679.8912,209877.2954,294886.4258,0.0,4.720067726833333,4.720067726833333
20,20,20,0,0.52,1,0,1,1,1,0,1,0,1,1,0,76181.5886,0,-39720.6018,-39720.6018,0.0,181300.5402,209877.2954,307178.2308,0.0,6.14005002,6.14005002
21,21,20,0,0.52,1,0,1,1,1,0,1,0,1,0,0,58276.2884,0,-31372.3036,-31372.3036,0.0,139187.5874,209877.2954,282597.2754,0.0,4.774478520066667,4.774478520066667
22,22,20,0,0.52,1,0,1,1,1,0,1,0,0,1,0,61239.4872,0,-34601.3835,-34601.3835,0.0,149168.9532,209877.2954,297077.0501,0.0,5.1102990666000006,5.1102990666000006
23,23,20,0,0.52,1,0,1,1,1,0,1,0,0,0,0,43442.6512,0,-26369.108,-26369.108,0.0,107056.0004,209877.2954,272496.0947,0.0,3.5519658958333333,3.5519658958333333
24,24,20,0,0.52,1,0,1,1,1,0,0,1,1,1,0,56184.2603,0,-32664.3112,-32664.3112,0.0,139403.5533,209877.2954,288369.2397,0.0,4.7221325038333335,4.7221325038333335
25,25,20,0,0.52,1,0,1,1,1,0,0,1,1,0,0,38387.4242,0,-24396.8471,-24396.8471,0.0,97290.6005,209877.2954,263788.2843,0.0,3.1740535944,3.1740535944
26,26,20,0,0.52,1,0,1,1,1,0,0,1,0,1,0,41276.2693,0,-27612.8458,-27612.8458,0.0,107271.9663,209877.2954,278268.059,0.0,3.4978289584333337,3.4978289584333337
