,ID,E_Brent,Opt_Basica,PP,BR,AR,WO,NW,opt_CE,opt_CN,opt_CS,opt_IC,opt_IN,opt_IS,BE_F,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE
0,0,40,0,0.555,1,0,1,1,1,1,1,1,1,1,26.85196557,0,120433.7171,0,0,0,9.56E-11,258069.7285,0,154085.4649,0,10.66811295,10.66811295
1,1,40,0,0.555,1,0,1,1,1,1,1,1,1,0,26.61887044,0,102698.5937,0,0,0,2.95E-10,215956.7757,0,128203.6517,0,9.182572942,9.182572942
2,2,40,0,0.555,1,0,1,1,1,1,1,1,0,1,26.9702346,0,105483.2057,0,0,0,0,225938.1415,0,142426.8063,0,9.435931762,9.435931762
3,3,40,0,0.555,1,0,1,1,1,1,1,1,0,0,26.76653138,0,87683.0018,0,0,0,6.37E-10,183825.1887,0,116544.9931,0,7.815122465,7.815122465
4,4,40,0,0.555,1,0,1,1,1,1,1,0,1,1,26.69776567,0,107937.0189,0,0,0,1.28E-10,230445.8376,0,131566.9499,0,9.561956294,9.561956294
5,5,40,0,0.555,1,0,1,1,1,1,1,0,1,0,26.43790344,0,90150.1476,0,0,0,0,188332.8848,0,105685.1367,0,7.922191886,7.922191886
6,6,40,0,0.555,1,0,1,1,1,1,1,0,0,1,26.846798,0,92837.7219,0,0,0,5.86E-10,198314.2507,0,119908.2913,0,8.189437897,8.189437897
7,7,40,0,0.555,1,0,1,1,1,1,1,0,0,0,26.55143436,0,74975.6401,0,0,0,0,156201.2979,0,94026.4781,0,6.671300362,6.671300362
8,8,40,0,0.555,1,0,1,1,1,1,0,1,1,1,26.83576346,0,87782.0714,0,0,0,6.35E-10,188548.8508,0,111815.7309,0,7.873787524,7.873787524
9,9,40,0,0.555,1,0,1,1,1,1,0,1,1,0,26.55156785,0,69989.195,0,0,0,0,146435.898,0,85933.9177,0,6.234023116,6.234023116
10,10,40,0,0.555,1,0,1,1,1,1,0,1,0,1,27.05078421,0,72731.2137,0,0,0,4.52E-10,156417.2638,0,100157.0723,0,6.527827553,6.527827553
11,11,40,0,0.555,1,0,1,1,1,1,0,1,0,0,26.76950188,0,54836.2348,0,0,0,0,114304.311,0,74275.2591,0,4.907018256,4.907018256
12,12,40,0,0.555,1,0,1,1,1,1,0,0,1,1,26.66365837,0,75177.4209,0,0,0,6.19E-10,160924.9599,0,89297.2159,0,6.613406468,6.613406468
13,13,40,0,0.555,1,0,1,1,1,1,0,0,1,0,26.25741527,0,57346.3194,0,0,0,0,118812.0071,0,63415.4027,0,4.973642059,4.973642059
14,14,40,0,0.555,1,0,1,1,1,1,0,0,0,1,26.86040985,0,60007.2982,0,0,0,5.33E-10,128793.373,0,77638.5573,0,5.362514944,5.362514944
15,15,40,0,0.555,1,0,1,1,1,1,0,0,0,0,26.40254439,0,42169.6575,0,0,0,0,86680.4202,0,51756.7441,0,3.722750536,3.722750536
16,16,40,0,0.555,1,0,1,1,1,0,1,1,1,1,26.77492371,0,98281.5929,0,0,0,8.32E-11,208924.431,0,125972.7443,0,8.652360586,8.652360586
17,17,40,0,0.555,1,0,1,1,1,0,1,1,1,0,26.50756572,0,80446.6931,0,0,0,5.97E-10,166811.4782,0,100090.9311,0,7.031551289,7.031551289
18,18,40,0,0.555,1,0,1,1,1,0,1,1,0,1,26.92034671,0,83178.7471,0,0,0,0,176792.844,0,114314.0857,0,7.420179396,7.420179396
19,19,40,0,0.555,1,0,1,1,1,0,1,1,0,0,26.64368328,0,65305.9324,0,0,0,0,134679.8912,0,88432.2725,0,5.799370099,5.799370099
20,20,40,0,0.555,1,0,1,1,1,0,1,0,1,1,26.61307918,0,85694.7332,0,0,0,6.24E-10,181300.5402,0,103454.2293,0,7.405866721,7.405866721
21,21,40,0,0.555,1,0,1,1,1,0,1,0,1,0,26.2204251,0,67814.2269,0,0,0,1.31E-10,139187.5874,0,77572.4161,0,5.873401395,5.873401395
22,22,40,0,0.555,1,0,1,1,1,0,1,0,0,1,26.75771186,0,70546.6836,0,0,0,0,149168.9532,0,91795.5707,0,6.173685531,6.173685531
23,23,40,0,0.555,1,0,1,1,1,0,1,0,0,0,26.35238622,0,52651.7046,0,0,0,0,107056.0004,0,65913.7575,0,4.552876234,4.552876234
24,24,40,0,0.555,1,0,1,1,1,0,0,1,1,1,26.77498123,0,65478.3512,0,0,0,0,139403.5533,0,83703.0102,0,5.744256378,5.744256378
25,25,40,0,0.555,1,0,1,1,1,0,0,1,1,0,26.30046555,0,47635.1487,0,0,0,0,97290.6005,0,57821.197,0,4.185232625,4.185232625
26,26,40,0,0.555,1,0,1,1,1,0,0,1,0,1,27.02448129,0,50366.3635,0,0,0,0,107271.9663,0,72044.3516,0,4.512075188,4.512075188
27,27,40,0,0.555,1,0,1,1,1,0,0,1,0,0,26.52639386,0,32483.0505,0,0,0,4.13E-10,65159.0135,0,46162.5384,0,2.891265891,2.891265891
28,28,40,0,0.555,1,0,1,1,1,0,0,0,1,1,26.4898505,0,52823.3746,0,0,0,0,111779.6624,0,61184.4953,0,4.564615977,4.564615977
29,29,40,0,0.555,1,0,1,1,1,0,0,0,1,0,25.70494437,0,34998.8821,0,0,0,3.32E-10,69666.7096,0,35302.6821,0,2.924851568,2.924851568
30,30,40,0,0.555,1,0,1,1,1,0,0,0,0,1,26.75867034,0,37683.3627,0,0,0,9.52E-11,79648.0755,0,49525.8367,0,3.265581323,3.265581323
31,31,40,0,0.555,1,0,1,1,1,0,0,0,0,0,25.59742478,0,19815.6113,0,0,0,1.03E-09,37535.1227,0,23644.0235,0,1.673960045,1.673960045
32,32,40,0,0.555,1,0,1,1,0,1,1,1,1,1,27.05821353,0,100796.4734,0,0,0,4.26E-10,220534.6058,0,130441.4414,0,9.023340926,9.023340926
33,33,40,0,0.555,1,0,1,1,0,1,1,1,1,0,26.86664513,0,82979.1037,0,0,0,6.29E-10,178421.653,0,104559.6282,0,7.402531629,7.402531629
34,34,40,0,0.555,1,0,1,1,0,1,1,1,0,1,27.24163888,0,85713.1429,0,0,0,5.07E-10,188403.0189,0,118782.7828,0,7.791159736,7.791159736
35,35,40,0,0.555,1,0,1,1,0,1,1,1,0,0,27.06978754,0,67845.0117,0,0,0,4.76E-10,146290.066,0,92900.9696,0,6.170350439,6.170350439
36,36,40,0,0.555,1,0,1,1,0,1,1,0,1,1,26.91564229,0,88228.4148,0,0,0,3.04E-10,192910.715,0,107922.9264,0,7.88799625,7.88799625
37,37,40,0,0.555,1,0,1,1,0,1,1,0,1,0,26.65851542,0,70352.6619,0,0,0,6.31E-10,150797.7622,0,82041.1132,0,6.248231841,6.248231841
38,38,40,0,0.555,1,0,1,1,0,1,1,0,0,1,27.1437581,0,73082.2353,0,0,0,7.39E-10,160779.128,0,96264.2679,0,6.544665871,6.544665871
39,39,40,0,0.555,1,0,1,1,0,1,1,0,0,0,26.90053814,0,55187.2563,0,0,0,6.21E-10,118666.1752,0,70382.4547,0,4.923856574,4.923856574
