,ID,E_Brent,C_polimero,PPM,Costo_Kw_hr,BE_F,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE
0,0,20,2.5,700,184,20.16940204,0,252021.2214,0,0,0,0,316409.8722,0,434166.1359,0,42.15784557,42.15784557
1,1,20,2.5,700,244,22.21583065,0,247610.6006,0,-13813.6523,-13813.6523,0,316409.8722,0,468335.236,0,0.043410423,0.043410423
2,2,20,2.5,700,304,11.15743215,0,243199.9797,0,-14001.6565,-14001.6565,0,316409.8722,0,502504.336,0,0.043410423,0.043410423
3,3,20,2.5,700,364,-14.16770776,0,238789.3589,0,-15147.3538,-15147.3538,0,316409.8722,0,536673.4361,0,0.043410423,0.043410423
4,4,20,2.5,1200,184,-0.002157635,0,233248.6107,0,-14879.4327,-14879.4327,0,316409.8722,0,577496.132,0,0.043410423,0.043410423
5,5,20,2.5,1200,244,3.441347387,0,228816.788,0,-14929.6488,-14929.6488,0,316409.8722,0,611665.2321,0,0.043410423,0.043410423
6,6,20,2.5,1200,304,5.248241847,0,224344.7037,0,-15042.1854,-15042.1854,0,316409.8722,0,645834.3322,0,0.043410423,0.043410423
7,7,20,2.5,1200,364,6.365417491,0,219872.6195,0,-15180.9858,-15180.9858,0,316409.8722,0,680003.4322,0,0.043410423,0.043410423
8,8,20,2.5,1700,184,7.265292202,0,214249.9305,0,-15418.2083,-15418.2083,0,316409.8722,0,720826.1282,0,0.043410423,0.043410423
9,9,20,2.5,1700,244,7.785832668,0,209777.8463,0,-15579.7279,-15579.7279,0,316409.8722,0,754995.2283,0,0.043410423,0.043410423
10,10,20,2.5,1700,304,8.187216695,0,205305.7621,0,-15745.785,-15745.785,0,316409.8722,0,789164.3283,0,0.043410423,0.043410423
11,11,20,2.5,1700,364,8.507385227,0,200833.6778,0,-15914.9346,-15914.9346,0,316409.8722,0,823333.4284,0,0.043410423,0.043410423
12,12,20,2.5,2200,184,8.821464807,0,195182.2224,0,-16174.4636,-16174.4636,0,316409.8722,0,864156.1244,0,0.043410423,0.043410423
13,13,20,2.5,2200,244,9.033354278,0,190644.1107,0,-16347.7364,-16347.7364,0,316409.8722,0,898325.2244,0,0.043410423,0.043410423
14,14,20,2.5,2200,304,9.2147398,0,186105.9991,0,-16522.1708,-16522.1708,0,316409.8722,0,932494.3245,0,0.043410423,0.043410423
15,15,20,2.5,2200,364,9.372327254,0,181567.8874,0,-16697.5113,-16697.5113,0,316409.8722,0,966663.4246,0,0.043410423,0.043410423
16,16,20,3.2,700,184,11.20071992,0,244662.358,0,-13957.0065,-13957.0065,0,316409.8722,0,490351.4944,0,0.043410423,0.043410423
17,17,20,3.2,700,244,23.52999372,0,240251.7372,0,-15637.4208,-15637.4208,0,316409.8722,0,524520.5944,0,0.043410423,0.043410423
18,18,20,3.2,700,304,-3.88893871,0,235841.1163,0,-14894.2883,-14894.2883,0,316409.8722,0,558689.6945,0,0.043410423,0.043410423
19,19,20,3.2,700,364,1.795026181,0,231430.4955,0,-14859.1899,-14859.1899,0,316409.8722,0,592858.7946,0,0.043410423,0.043410423
20,20,20,3.2,1200,184,6.214748527,0,220494.7034,0,-15190.7237,-15190.7237,0,316409.8722,0,673813.8895,0,0.043410423,0.043410423
21,21,20,3.2,1200,244,7.020513679,0,216022.6191,0,-15341.3823,-15341.3823,0,316409.8722,0,707982.9895,0,0.043410423,0.043410423
22,22,20,3.2,1200,304,7.602447335,0,211550.5349,0,-15500.5642,-15500.5642,0,316409.8722,0,742152.0896,0,0.043410423,0.043410423
23,23,20,3.2,1200,364,8.044155676,0,207078.4507,0,-15665.0857,-15665.0857,0,316409.8722,0,776321.1897,0,0.043410423,0.043410423
24,24,20,3.2,1700,184,8.774037472,0,196109.5095,0,-16137.125,-16137.125,0,316409.8722,0,857276.2846,0,0.043410423,0.043410423
25,25,20,3.2,1700,244,8.99314529,0,191571.3978,0,-16310.1229,-16310.1229,0,316409.8722,0,891445.3846,0,0.043410423,0.043410423
26,26,20,3.2,1700,304,9.180092654,0,187033.2862,0,-16484.3455,-16484.3455,0,316409.8722,0,925614.4847,0,0.043410423,0.043410423
27,27,20,3.2,1700,364,9.342051447,0,182495.1745,0,-16659.5196,-16659.5196,0,316409.8722,0,959783.5848,0,0.043410423,0.043410423
28,28,20,3.2,2200,184,9.658191426,0,171370.2152,0,-17147.3137,-17147.3137,0,316409.8722,0,1040738.68,0,0.043410423,0.043410423
29,29,20,3.2,2200,244,11.49038018,0,166762.8499,0,-17258.8871,-17258.8871,0,316409.8722,0,1074907.78,0,0.043410423,0.043410423
30,30,20,3.2,2200,304,11.50901767,0,162155.4845,0,-17439.5187,-17439.5187,0,316409.8722,0,1109076.88,0,0.043410423,0.043410423
31,31,20,3.2,2200,364,11.52766783,0,157548.1191,0,-17620.1499,-17620.1499,0,316409.8722,0,1143245.98,0,0.043410423,0.043410423
32,32,20,3.9,700,184,-7.8664108,0,237303.4946,0,-15002.7448,-15002.7448,0,316409.8722,0,546536.8529,0,0.043410423,0.043410423
33,33,20,3.9,700,244,24.89411765,0,232892.8738,0,-14868.7746,-14868.7746,0,316409.8722,0,580705.9529,0,0.043410423,0.043410423
34,34,20,3.9,700,304,3.641619989,0,228457.1151,0,-14927.2132,-14927.2132,0,316409.8722,0,614875.053,0,0.043410423,0.043410423
35,35,20,3.9,700,364,5.366251323,0,223985.0309,0,-15042.8823,-15042.8823,0,316409.8722,0,649044.1531,0,0.043410423,0.043410423
36,36,20,3.9,1200,184,7.979318206,0,207700.5345,0,-15671.5553,-15671.5553,0,316409.8722,0,770131.6469,0,0.043410423,0.043410423
37,37,20,3.9,1200,244,8.340316307,0,203228.4503,0,-15839.1502,-15839.1502,0,316409.8722,0,804300.747,0,0.043410423,0.043410423
38,38,20,3.9,1200,304,8.632039137,0,198756.3661,0,-16009.383,-16009.383,0,316409.8722,0,838469.847,0,0.043410423,0.043410423
39,39,20,3.9,1200,364,8.873592409,0,194240.8116,0,-16181.5262,-16181.5262,0,316409.8722,0,872638.9471,0,0.043410423,0.043410423
40,40,20,3.9,1700,184,9.487052528,0,177718.3147,0,-16886.3423,-16886.3423,0,316409.8722,0,993726.4409,0,0.043410423,0.043410423
41,41,20,3.9,1700,244,9.613122778,0,173180.203,0,-17062.883,-17062.883,0,316409.8722,0,1027895.541,0,0.043410423,0.043410423
42,42,20,3.9,1700,304,9.726189597,0,168587.6771,0,-17239.9188,-17239.9188,0,316409.8722,0,1062064.641,0,0.043410423,0.043410423
43,43,20,3.9,1700,364,11.50051091,0,163980.3118,0,-17353.6958,-17353.6958,0,316409.8722,0,1096233.741,0,0.043410423,0.043410423
44,44,20,3.9,2200,184,11.57376565,0,147137.5486,0,-18079.0823,-18079.0823,0,316409.8722,0,1217321.235,0,0.043410423,0.043410423
45,45,20,3.9,2200,244,11.59244241,0,142458.8125,0,-18259.7125,-18259.7125,0,316409.8722,0,1251490.335,0,0.043410423,0.043410423
46,46,20,3.9,2200,304,11.61112336,0,137780.0765,0,-18440.3425,-18440.3425,0,316409.8722,0,1285659.435,0,0.043410423,0.043410423
47,47,20,3.9,2200,364,11.62981589,0,133058.4819,0,-18620.972,-18620.972,0,316409.8722,0,1319828.535,0,0.043410423,0.043410423
48,48,20,4.6,700,184,2.783015068,0,229938.0184,0,-14916.9063,-14916.9063,0,316409.8722,0,602722.2114,0,0.043410423,0.043410423
49,49,20,4.6,700,244,26.28970539,0,225465.9342,0,-15018.6994,-15018.6994,0,316409.8722,0,636891.3114,0,0.043410423,0.043410423
50,50,20,4.6,700,304,6.121347626,0,220993.85,0,-15152.4687,-15152.4687,0,316409.8722,0,671060.4115,0,0.043410423,0.043410423
51,51,20,4.6,700,364,6.955676324,0,216521.7658,0,-15302.0396,-15302.0396,0,316409.8722,0,705229.5116,0,0.043410423,0.043410423
52,52,20,4.6,1200,184,8.836907058,0,194873.1267,0,-16186.9238,-16186.9238,0,316409.8722,0,866449.4043,0,0.043410423,0.043410423
