,ID,E_Brent,C_polimero,PPM,Costo_Kw_hr,PP,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE,volumen_B_LE_p,volumen_I_LE_p,volumen_T_LE_p,LE_year_p,LE_year_b,lc_p,lc_b,dc_p,dc_b,opex_ing_p,capex_ing_p,impuesto_ing_p,ingreso_ing_p,abandono_ing_p,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b
0,0,20,2.5,700,184,0.48,0,189496.1311,0,-16081.6826,-16081.6826,0.0,316409.8722,0,438355.111,0.0,35.72454396176081,35.72454396176081,0.0,35.72454396176081,35.72454396176081,2062.0,2062.0,5.3553,5.3553,4.228,4.228,71257.6955,69598.4534,89666.4641,420018.744,0,71257.6955,69598.4534,4253.2651,129027.7314,0
1,1,25,2.5,700,184,0.48,0,189496.1311,0,17292.2119,17292.2119,0.48008164771144873,316409.8722,0,438355.111,0.0,35.72454396176081,35.72454396176081,0.0,35.72454396176081,35.72454396176081,2062.0,2062.0,5.3553,5.3553,4.228,4.228,71257.6955,69598.4534,89666.4641,420018.744,0,71257.6955,69598.4534,16120.5107,174268.8714,0
2,2,30,2.5,700,184,0.48,0,189496.1311,0,49094.7214,49094.7214,1.1301167066278492,316409.8722,0,438355.111,0.0,35.72454396176081,35.72454396176081,0.0,35.72454396176081,35.72454396176081,2062.0,2062.0,5.3553,5.3553,4.228,4.228,71257.6955,69598.4534,89666.4641,420018.744,0,71257.6955,69598.4534,29559.1412,219510.0114,0
3,3,35,2.5,700,184,0.46499999999999997,0,189496.1311,0,76560.8554,76560.8554,1.6932718192884852,316409.8722,0,438355.111,0.0,34.608151962955795,34.608151962955795,0.0,35.72454396176081,35.72454396176081,2062.0,2062.0,5.3553,5.3553,4.228,4.3644,71257.6955,69598.4534,89666.4641,420018.744,0,69030.8925,69598.4534,41287.4767,256477.678,0
4,4,40,2.5,700,184,0.44499999999999995,0,189496.1311,0,100282.8995,100282.8995,2.180068560151211,316409.8722,0,438355.111,0.0,33.119629297882426,33.119629297882426,0.0,35.72454396176081,35.72454396176081,2062.0,2062.0,5.3553,5.3553,4.228,4.5606,71257.6955,69598.4534,89666.4641,420018.744,0,66061.8218,69598.4534,51445.5121,287388.6869,0
5,5,45,2.5,700,184,0.42999999999999994,0,189496.1311,0,123435.8478,123435.8478,2.655198091916919,316409.8722,0,438355.111,0.0,32.003237299077405,32.003237299077405,0.0,35.72454396176081,35.72454396176081,2062.0,2062.0,5.3553,5.3553,4.228,4.7197,71257.6955,69598.4534,89666.4641,420018.744,0,63835.0189,69598.4534,61360.629,318229.9491,0
6,6,50,2.5,700,184,0.42999999999999994,0,189496.1311,0,151810.1066,151810.1066,3.237521165529528,316409.8722,0,438355.111,0.0,32.003237299077405,32.003237299077405,0.0,35.72454396176081,35.72454396176081,2062.0,2062.0,5.3553,5.3553,4.228,4.7197,71257.6955,69598.4534,89666.4641,420018.744,0,63835.0189,69598.4534,73514.8915,358758.4703,0
7,7,55,2.5,700,184,0.4099999999999999,0,189496.1311,0,169263.4192,169263.4192,3.59566513431505,316409.8722,0,438355.111,0.0,30.51471463400402,30.51471463400402,0.0,35.72454396176081,35.72454396176081,2062.0,2062.0,5.3553,5.3553,4.228,4.9499,71257.6955,69598.4534,89666.4641,420018.744,0,60865.9482,69598.4534,80987.6828,380715.5036,0
8,8,60,2.5,700,184,0.4099999999999999,0,189496.1311,0,196317.945,196317.945,4.150903413806141,316409.8722,0,438355.111,0.0,30.51471463400402,30.51471463400402,0.0,35.72454396176081,35.72454396176081,2062.0,2062.0,5.3553,5.3553,4.228,4.9499,71257.6955,69598.4534,89666.4641,420018.744,0,60865.9482,69598.4534,92576.6308,419358.9774,0
9,9,20,2.5,700,244,0.48,0,185588.9795,0,-20337.1703,-20337.1703,0.0,316409.8722,0,472524.2111,0.0,35.72454396176081,35.72454396176081,0.0,35.72454396176081,35.72454396176081,2062.0,2062.0,5.7767,5.7767,4.228,4.228,76832.8188,69598.4534,87998.4923,420018.744,0,76832.8188,69598.4534,2933.6295,129027.7314,0
10,10,25,2.5,700,244,0.48,0,185588.9795,0,13309.4163,13309.4163,0.39997699958067845,316409.8722,0,472524.2111,0.0,35.72454396176081,35.72454396176081,0.0,35.72454396176081,35.72454396176081,2062.0,2062.0,5.7767,5.7767,4.228,4.228,76832.8188,69598.4534,87998.4923,420018.744,0,76832.8188,69598.4534,14528.1829,174268.8714,0
11,11,30,2.5,700,244,0.48,0,185588.9795,0,45175.0964,45175.0964,1.0500120584970791,316409.8722,0,472524.2111,0.0,35.72454396176081,35.72454396176081,0.0,35.72454396176081,35.72454396176081,2062.0,2062.0,5.7767,5.7767,4.228,4.228,76832.8188,69598.4534,87998.4923,420018.744,0,76832.8188,69598.4534,27903.6428,219510.0114,0
12,12,35,2.5,700,244,0.46499999999999997,0,185588.9795,0,72770.8374,72770.8374,1.6156704414118017,316409.8722,0,472524.2111,0.0,34.608151962955795,34.608151962955795,0.0,35.72454396176081,35.72454396176081,2062.0,2062.0,5.7767,5.7767,4.228,4.3644,76832.8188,69598.4534,87998.4923,420018.744,0,74431.7932,69598.4534,39676.594,256477.678,0
13,13,40,2.5,700,244,0.44499999999999995,0,185588.9795,0,96660.6445,96660.6445,2.1058048759466432,316409.8722,0,472524.2111,0.0,33.119629297882426,33.119629297882426,0.0,35.72454396176081,35.72454396176081,2062.0,2062.0,5.7767,5.7767,4.228,4.5606,76832.8188,69598.4534,87998.4923,420018.744,0,71230.4257,69598.4534,49899.1633,287388.6869,0
14,14,45,2.5,700,244,0.42999999999999994,0,185588.9795,0,119935.6913,119935.6913,2.5834376779664376,316409.8722,0,472524.2111,0.0,32.003237299077405,32.003237299077405,0.0,35.72454396176081,35.72454396176081,2062.0,2062.0,5.7767,5.7767,4.228,4.7197,76832.8188,69598.4534,87998.4923,420018.744,0,68829.4002,69598.4534,59866.4043,318229.9491,0
15,15,50,2.5,700,244,0.42999999999999994,0,185588.9795,0,148309.95,148309.95,3.165760751579046,316409.8722,0,472524.2111,0.0,32.003237299077405,32.003237299077405,0.0,35.72454396176081,35.72454396176081,2062.0,2062.0,5.7767,5.7767,4.228,4.7197,76832.8188,69598.4534,87998.4923,420018.744,0,68829.4002,69598.4534,72020.6668,358758.4703,0
16,16,55,2.5,700,244,0.4099999999999999,0,185588.9795,0,165926.0606,165926.0606,3.527242414036684,316409.8722,0,472524.2111,0.0,30.51471463400402,30.51471463400402,0.0,35.72454396176081,35.72454396176081,2062.0,2062.0,5.7767,5.7767,4.228,4.9499,76832.8188,69598.4534,87998.4923,420018.744,0,65628.0327,69598.4534,79562.957,380715.5036,0
17,17,60,2.5,700,244,0.4099999999999999,0,185588.9795,0,192980.5864,192980.5864,4.082480693527773,316409.8722,0,472524.2111,0.0,30.51471463400402,30.51471463400402,0.0,35.72454396176081,35.72454396176081,2062.0,2062.0,5.7767,5.7767,4.228,4.9499,76832.8188,69598.4534,87998.4923,420018.744,0,65628.0327,69598.4534,91151.9049,419358.9774,0
18,18,20,2.5,700,304,0.48,0,181681.828,0,-24673.1129,-24673.1129,0.0,316409.8722,0,506693.3111,0.0,35.72454396176081,35.72454396176081,0.0,35.72454396176081,35.72454396176081,2062.0,2062.0,6.1982,6.1982,4.228,4.228,82407.9421,69598.4534,86330.5206,420018.744,0,82407.9421,69598.4534,1694.4488,129027.7314,0
19,19,25,2.5,700,304,0.48,0,181681.828,0,9295.5211,9295.5211,0.31987235144990805,316409.8722,0,506693.3111,0.0,35.72454396176081,35.72454396176081,0.0,35.72454396176081,35.72454396176081,2062.0,2062.0,6.1982,6.1982,4.228,4.228,82407.9421,69598.4534,86330.5206,420018.744,0,82407.9421,69598.4534,12966.9548,174268.8714,0
20,20,30,2.5,700,304,0.48,0,181681.828,0,41255.4715,41255.4715,0.9699074103663089,316409.8722,0,506693.3111,0.0,35.72454396176081,35.72454396176081,0.0,35.72454396176081,35.72454396176081,2062.0,2062.0,6.1982,6.1982,4.228,4.228,82407.9421,69598.4534,86330.5206,420018.744,0,82407.9421,69598.4534,26248.1445,219510.0114,0
21,21,35,2.5,700,304,0.46499999999999997,0,181681.828,0,68973.7007,68973.7007,1.538069063535118,316409.8722,0,506693.3111,0.0,34.608151962955795,34.608151962955795,0.0,35.72454396176081,35.72454396176081,2062.0,2062.0,6.1982,6.1982,4.228,4.3644,82407.9421,69598.4534,86330.5206,420018.744,0,79832.6939,69598.4534,38072.83,256477.678,0
22,22,40,2.5,700,304,0.44499999999999995,0,181681.828,0,93038.3894,93038.3894,2.0315411917420745,316409.8722,0,506693.3111,0.0,33.119629297882426,33.119629297882426,0.0,35.72454396176081,35.72454396176081,2062.0,2062.0,6.1982,6.1982,4.228,4.5606,82407.9421,69598.4534,86330.5206,420018.744,0,76399.0296,69598.4534,48352.8145,287388.6869,0
23,23,45,2.5,700,304,0.42999999999999994,0,181681.828,0,116435.5347,116435.5347,2.511677264015955,316409.8722,0,506693.3111,0.0,32.003237299077405,32.003237299077405,0.0,35.72454396176081,35.72454396176081,2062.0,2062.0,6.1982,6.1982,4.228,4.7197,82407.9421,69598.4534,86330.5206,420018.744,0,73823.7814,69598.4534,58372.1796,318229.9491,0
24,24,50,2.5,700,304,0.42999999999999994,0,181681.828,0,144809.7934,144809.7934,3.0940003376285636,316409.8722,0,506693.3111,0.0,32.003237299077405,32.003237299077405,0.0,35.72454396176081,35.72454396176081,2062.0,2062.0,6.1982,6.1982,4.228,4.7197,82407.9421,69598.4534,86330.5206,420018.744,0,73823.7814,69598.4534,70526.4421,358758.4703,0
25,25,55,2.5,700,304,0.4099999999999999,0,181681.828,0,162588.702,162588.702,3.458819693758317,316409.8722,0,506693.3111,0.0,30.51471463400402,30.51471463400402,0.0,35.72454396176081,35.72454396176081,2062.0,2062.0,6.1982,6.1982,4.228,4.9499,82407.9421,69598.4534,86330.5206,420018.744,0,70390.1172,69598.4534,78138.2311,380715.5036,0
26,26,60,2.5,700,304,0.4099999999999999,0,181681.828,0,189643.2278,189643.2278,4.0140579732494075,316409.8722,0,506693.3111,0.0,30.51471463400402,30.51471463400402,0.0,35.72454396176081,35.72454396176081,2062.0,2062.0,6.1982,6.1982,4.228,4.9499,82407.9421,69598.4534,86330.5206,420018.744,0,70390.1172,69598.4534,89727.1791,419358.9774,0
27,27,20,2.5,700,364,0.48,0,177774.6764,0,-29145.0474,-29145.0474,0.0,316409.8722,0,540862.4112,0.0,35.72454396176081,35.72454396176081,0.0,35.72454396176081,35.72454396176081,2062.0,2062.0,6.6197,6.6197,4.228,4.228,87983.0654,69598.4534,84662.5488,420018.744,0,87983.0654,69598.4534,591.26,129027.7314,0
28,28,25,2.5,700,364,0.48,0,177774.6764,0,5242.9799,5242.9799,0.23976770331913805,316409.8722,0,540862.4112,0.0,35.72454396176081,35.72454396176081,0.0,35.72454396176081,35.72454396176081,2062.0,2062.0,6.6197,6.6197,4.228,4.228,87983.0654,69598.4534,84662.5488,420018.744,0,87983.0654,69598.4534,11444.3728,174268.8714,0
29,29,30,2.5,700,364,0.48,0,177774.6764,0,37335.8466,37335.8466,0.8898027622355383,316409.8722,0,540862.4112,0.0,35.72454396176081,35.72454396176081,0.0,35.72454396176081,35.72454396176081,2062.0,2062.0,6.6197,6.6197,4.228,4.228,87983.0654,69598.4534,84662.5488,420018.744,0,87983.0654,69598.4534,24592.6461,219510.0114,0
30,30,35,2.5,700,364,0.46499999999999997,0,177774.6764,0,65176.564,65176.564,1.460467685658434,316409.8722,0,540862.4112,0.0,34.608151962955795,34.608151962955795,0.0,35.72454396176081,35.72454396176081,2062.0,2062.0,6.6197,6.6197,4.228,4.3644,87983.0654,69598.4534,84662.5488,420018.744,0,85233.5946,69598.4534,36469.0659,256477.678,0
31,31,40,2.5,700,364,0.44499999999999995,0,177774.6764,0,89416.1343,89416.1343,1.9572775075375068,316409.8722,0,540862.4112,0.0,33.119629297882426,33.119629297882426,0.0,35.72454396176081,35.72454396176081,2062.0,2062.0,6.6197,6.6197,4.228,4.5606,87983.0654,69598.4534,84662.5488,420018.744,0,81567.6335,69598.4534,46806.4657,287388.6869,0
32,32,45,2.5,700,364,0.42999999999999994,0,177774.6764,0,112935.3781,112935.3781,2.439916850065474,316409.8722,0,540862.4112,0.0,32.003237299077405,32.003237299077405,0.0,35.72454396176081,35.72454396176081,2062.0,2062.0,6.6197,6.6197,4.228,4.7197,87983.0654,69598.4534,84662.5488,420018.744,0,78818.1627,69598.4534,56877.9549,318229.9491,0
33,33,50,2.5,700,364,0.42999999999999994,0,177774.6764,0,141309.6368,141309.6368,3.0222399236780815,316409.8722,0,540862.4112,0.0,32.003237299077405,32.003237299077405,0.0,35.72454396176081,35.72454396176081,2062.0,2062.0,6.6197,6.6197,4.228,4.7197,87983.0654,69598.4534,84662.5488,420018.744,0,78818.1627,69598.4534,69032.2174,358758.4703,0
34,34,55,2.5,700,364,0.4099999999999999,0,177774.6764,0,159251.3434,159251.3434,3.3903969734799526,316409.8722,0,540862.4112,0.0,30.51471463400402,30.51471463400402,0.0,35.72454396176081,35.72454396176081,2062.0,2062.0,6.6197,6.6197,4.228,4.9499,87983.0654,69598.4534,84662.5488,420018.744,0,75152.2017,69598.4534,76713.5052,380715.5036,0
35,35,60,2.5,700,364,0.4099999999999999,0,177774.6764,0,186305.8692,186305.8692,3.9456352529710417,316409.8722,0,540862.4112,0.0,30.51471463400402,30.51471463400402,0.0,35.72454396176081,35.72454396176081,2062.0,2062.0,6.6197,6.6197,4.228,4.9499,87983.0654,69598.4534,84662.5488,420018.744,0,75152.2017,69598.4534,88302.4532,419358.9774,0
