,ID,E_Brent,PP,BR,AR,WO,NW,opt_C,opt_I,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE,volumen_B_LE_p,volumen_I_LE_p,volumen_T_LE_p,LE_year_p,LE_year_b,lc_p,lc_b,dc_p,dc_b,opex_ing_p,capex_ing_p,impuesto_ing_p,ingreso_ing_p,abandono_ing_p,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b
0,0,20,0.48,0,1,1,0,1,1,0,47836.8113,0,-9311.6217,-9311.6217,0.0,94775.9959,0,79089.0532,0.0,4.825466460555562,4.825466460555562,0.0,5.275589090913123,5.275589090913123,2052.0,2040.0,4.8522,3.1493,8.5945,9.3962,7300.069,38072.605,18183.474,111392.9593,0,6299.0244,38072.605,318.2336,35378.2412,0
1,1,25,0.48,0,1,1,0,1,1,0,47836.8113,0,2486.9263,2486.9263,0.09079140143679265,94775.9959,0,79089.0532,0.0,4.989496401772803,4.989496401772803,0.0,5.275589090913123,5.275589090913123,2052.0,2043.0,4.8522,3.5674,8.5945,9.0873,7300.069,38072.605,18183.474,111392.9593,0,6664.6205,38072.605,969.7748,48193.9265,0
2,2,30,0.48,0,1,1,0,1,1,0,47836.8113,0,12930.9986,12930.9986,0.4198866693301054,94775.9959,0,79089.0532,0.0,5.074457312862234,5.074457312862234,0.0,5.275589090913123,5.275589090913123,2052.0,2045.0,4.8522,3.8497,8.5945,8.9351,7300.069,38072.605,18183.474,111392.9593,0,6856.3718,38072.605,3055.3465,60915.322,0
3,3,35,0.46499999999999997,0,1,1,0,1,1,0,47836.8113,0,20330.9999,20330.9999,0.695347213626216,94775.9959,0,79089.0532,0.0,4.9840040154009015,4.9840040154009015,0.0,5.275589090913123,5.275589090913123,2052.0,2047.0,4.8522,4.1337,8.5945,9.0973,7300.069,38072.605,18183.474,111392.9593,0,6795.3091,38072.605,6142.9546,71341.8685,0
4,4,40,0.44499999999999995,0,1,1,0,1,1,0,47836.8113,0,26491.6842,26491.6842,0.9290956576254403,94775.9959,0,79089.0532,0.0,4.824306360823694,4.824306360823694,0.0,5.275589090913123,5.275589090913123,2052.0,2049.0,4.8522,4.42,8.5945,9.3984,7300.069,38072.605,18183.474,111392.9593,0,6624.3136,38072.605,8881.7748,80070.3776,0
5,5,45,0.42999999999999994,0,1,1,0,1,1,0,47836.8113,0,32643.3778,32643.3778,1.160760923762512,94775.9959,0,79089.0532,0.0,4.68489031828645,4.68489031828645,0.0,5.275589090913123,5.275589090913123,2052.0,2050.0,4.8522,4.5635,8.5945,9.6781,7300.069,38072.605,18183.474,111392.9593,0,6451.6636,38072.605,11550.2729,88717.9192,0
6,6,50,0.42999999999999994,0,1,1,0,1,1,0,47836.8113,0,40466.2769,40466.2769,1.4577160990372409,94775.9959,0,79089.0532,0.0,4.726048560609674,4.726048560609674,0.0,5.275589090913123,5.275589090913123,2052.0,2052.0,4.8522,4.8522,8.5945,9.5938,7300.069,38072.605,18183.474,111392.9593,0,6539.6451,38072.605,15033.3481,100111.8752,0
7,7,55,0.4099999999999999,0,1,1,0,1,1,0,47836.8113,0,44932.5806,44932.5806,1.6267005012495135,94775.9959,0,79089.0532,0.0,4.523631083738095,4.523631083738095,0.0,5.275589090913123,5.275589090913123,2052.0,2053.0,4.8522,4.9968,8.5945,10.0231,7300.069,38072.605,18183.474,111392.9593,0,6271.7354,38072.605,17000.7876,106277.7086,0
8,8,60,0.4099999999999999,0,1,1,0,1,1,0,47836.8113,0,52404.6193,52404.6193,1.9101221792520362,94775.9959,0,79089.0532,0.0,4.554713251917144,4.554713251917144,0.0,5.275589090913123,5.275589090913123,2052.0,2055.0,4.8522,5.287,8.5945,9.9547,7300.069,38072.605,18183.474,111392.9593,0,6334.6535,38072.605,20319.4625,117131.3402,0
9,9,20,0.48,0,1,1,0,1,0,0,40835.2703,0,-6648.3058,-6648.3058,0.0,75590.342,0,71702.6502,0.0,3.992476280440847,3.992476280440847,0.0,4.405223987278151,4.405223987278151,2051.0,2039.0,5.0578,3.2298,8.209,9.0576,6523.4588,30355.7833,15594.7319,93309.2443,0,5529.5753,30355.7833,288.5458,29525.5987,0
10,10,25,0.48,0,1,1,0,1,0,0,40835.2703,0,3166.9218,3166.9218,0.13340120286099288,75590.342,0,71702.6502,0.0,4.1448136233730155,4.1448136233730155,0.0,4.405223987278151,4.405223987278151,2051.0,2042.0,5.0578,3.6782,8.209,8.7247,6523.4588,30355.7833,15594.7319,93309.2443,0,5892.8737,30355.7833,882.6051,40298.1839,0
11,11,30,0.48,0,1,1,0,1,0,0,40835.2703,0,11648.6871,11648.6871,0.4787528772609373,75590.342,0,71702.6502,0.0,4.222861517112066,4.222861517112066,0.0,4.405223987278151,4.405223987278151,2051.0,2044.0,5.0578,3.9811,8.209,8.5635,6523.4588,30355.7833,15594.7319,93309.2443,0,6083.1907,30355.7833,2884.3352,50971.9963,0
12,12,35,0.46499999999999997,0,1,1,0,1,0,0,40835.2703,0,17821.4279,17821.4279,0.768339493482711,75590.342,0,71702.6502,0.0,4.153069272244732,4.153069272244732,0.0,4.405223987278151,4.405223987278151,2051.0,2046.0,5.0578,4.2861,8.209,8.7074,6523.4588,30355.7833,15594.7319,93309.2443,0,6045.1586,30355.7833,5502.2858,59724.6556,0
13,13,40,0.44499999999999995,0,1,1,0,1,0,0,40835.2703,0,22983.3548,22983.3548,1.0143448090491447,75590.342,0,71702.6502,0.0,4.0240313058364405,4.0240313058364405,0.0,4.405223987278151,4.405223987278151,2051.0,2048.0,5.0578,4.5936,8.209,8.9866,6523.4588,30355.7833,15594.7319,93309.2443,0,5905.5138,30355.7833,7808.0962,67052.7482,0
14,14,45,0.42999999999999994,0,1,1,0,1,0,0,40835.2703,0,28142.0233,28142.0233,1.2580858584090566,75590.342,0,71702.6502,0.0,3.9093501450752077,3.9093501450752077,0.0,4.405223987278151,4.405223987278151,2051.0,2049.0,5.0578,4.7479,8.209,9.2502,6523.4588,30355.7833,15594.7319,93309.2443,0,5756.7174,30355.7833,10048.431,74302.955,0
15,15,50,0.42999999999999994,0,1,1,0,1,0,0,40835.2703,0,34691.4499,34691.4499,1.5700456179907831,75590.342,0,71702.6502,0.0,3.9463464886033437,3.9463464886033437,0.0,4.405223987278151,4.405223987278151,2051.0,2051.0,5.0578,5.0578,8.209,9.1635,6523.4588,30355.7833,15594.7319,93309.2443,0,5843.9318,30355.7833,12968.8549,83860.02,0
16,16,55,0.4099999999999999,0,1,1,0,1,0,0,40835.2703,0,38444.2314,38444.2314,1.748148089084818,75590.342,0,71702.6502,0.0,3.7784420553103204,3.7784420553103204,0.0,4.405223987278151,4.405223987278151,2051.0,2052.0,5.0578,5.2138,8.209,9.5707,6523.4588,30355.7833,15594.7319,93309.2443,0,5608.21,30355.7833,14622.552,89030.7768,0
17,17,60,0.4099999999999999,0,1,1,0,1,0,0,40835.2703,0,44702.3023,44702.3023,2.045930370015261,75590.342,0,71702.6502,0.0,3.8062275502658807,3.8062275502658807,0.0,4.405223987278151,4.405223987278151,2051.0,2054.0,5.0578,5.5259,8.209,9.5009,6523.4588,30355.7833,15594.7319,93309.2443,0,5670.6603,30355.7833,17403.96,98132.7059,0
18,18,20,0.48,0,1,1,0,0,1,0,6983.2199,0,-2638.3594,-2638.3594,0.0,19185.6538,0,11575.3781,0.0,0.8179953606726557,0.8179953606726557,0.0,0.8747417036290911,0.8747417036290911,2061.0,2045.0,3.6999,2.3737,10.4927,11.2206,759.252,7716.8216,2618.1324,18077.426,0,690.9453,7716.8216,28.8864,5798.294,0
19,19,25,0.48,0,1,1,0,0,1,0,6983.2199,0,-691.7517,-691.7517,0.0,19185.6538,0,11575.3781,0.0,0.8350463069451346,0.8350463069451346,0.0,0.8747417036290911,0.8747417036290911,2061.0,2048.0,3.6999,2.63,10.4927,10.9915,759.252,7716.8216,2618.1324,18077.426,0,713.1388,7716.8216,119.6435,7857.8522,0
20,20,30,0.48,0,1,1,0,0,1,0,6983.2199,0,1200.106,1200.106,0.19057238100731524,19185.6538,0,11575.3781,0.0,0.8482803626795943,0.8482803626795943,0.0,0.8747417036290911,0.8747417036290911,2061.0,2051.0,3.6999,2.8883,10.4927,10.82,759.252,7716.8216,2618.1324,18077.426,0,729.7796,7716.8216,270.5411,9917.2484,0
21,21,35,0.46499999999999997,0,1,1,0,0,1,0,6983.2199,0,2501.1992,2501.1992,0.4101363767993362,19185.6538,0,11575.3781,0.0,0.8319234633840944,0.8319234633840944,0.0,0.8747417036290911,0.8747417036290911,2061.0,2054.0,3.6999,3.1488,10.4927,11.0328,759.252,7716.8216,2618.1324,18077.426,0,719.0875,7716.8216,663.8232,11600.9316,0
22,22,40,0.44499999999999995,0,1,1,0,0,1,0,6983.2199,0,3499.6668,3499.6668,0.5953891729426469,19185.6538,0,11575.3781,0.0,0.8015286981474423,0.8015286981474423,0.0,0.8747417036290911,0.8747417036290911,2061.0,2056.0,3.6999,3.3234,10.4927,11.4511,759.252,7716.8216,2618.1324,18077.426,0,694.2358,7716.8216,1094.9514,13005.6757,0
23,23,45,0.42999999999999994,0,1,1,0,0,1,0,6983.2199,0,4483.8352,4483.8352,0.7793340191311176,19185.6538,0,11575.3781,0.0,0.7790328197370179,0.7790328197370179,0.0,0.8747417036290911,0.8747417036290911,2061.0,2058.0,3.6999,3.4984,10.4927,11.7818,759.252,7716.8216,2618.1324,18077.426,0,675.6794,7716.8216,1530.2855,14406.6217,0
24,24,50,0.42999999999999994,0,1,1,0,0,1,0,6983.2199,0,5755.911,5755.911,1.0171357211060548,19185.6538,0,11575.3781,0.0,0.7836227761677274,0.7836227761677274,0.0,0.8747417036290911,0.8747417036290911,2061.0,2061.0,3.6999,3.6999,10.4927,11.7128,759.252,7716.8216,2618.1324,18077.426,0,680.1633,7716.8216,2093.3254,16246.2213,0
25,25,55,0.4099999999999999,0,1,1,0,0,1,0,6983.2199,0,6475.6422,6475.6422,1.150082488423221,19185.6538,0,11575.3781,0.0,0.7471752051831824,0.7471752051831824,0.0,0.8747417036290911,0.8747417036290911,2061.0,2061.0,3.6999,3.6999,10.4927,12.2842,759.252,7716.8216,2618.1324,18077.426,0,648.5278,7716.8216,2399.5444,17240.536,0
26,26,60,0.4099999999999999,0,1,1,0,0,1,0,6983.2199,0,7700.3418,7700.3418,1.3768516066005254,19185.6538,0,11575.3781,0.0,0.7475619569232062,0.7475619569232062,0.0,0.8747417036290911,0.8747417036290911,2061.0,2062.0,3.6999,3.7222,10.4927,12.2778,759.252,7716.8216,2618.1324,18077.426,0,648.9053,7716.8216,2924.822,18990.8908,0
27,27,20,0.48,0,1,1,0,0,0,0,0,0,0,0,0.0,0,0,4188.9751,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,2021.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,28,25,0.48,0,1,1,0,0,0,0,0,0,0,0,0.0,0,0,4188.9751,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,2021.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,29,30,0.48,0,1,1,0,0,0,0,0,0,0,0,0.0,0,0,4188.9751,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,2021.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,30,35,0.46499999999999997,0,1,1,0,0,0,0,0,0,0,0,0.0,0,0,4188.9751,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,2021.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,31,40,0.44499999999999995,0,1,1,0,0,0,0,0,0,0,0,0.0,0,0,4188.9751,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,2021.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,32,45,0.42999999999999994,0,1,1,0,0,0,0,0,0,0,0,0.0,0,0,4188.9751,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,2021.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,33,50,0.42999999999999994,0,1,1,0,0,0,0,0,0,0,0,0.0,0,0,4188.9751,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,2021.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,34,55,0.4099999999999999,0,1,1,0,0,0,0,0,0,0,0,0.0,0,0,4188.9751,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,2021.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,35,60,0.4099999999999999,0,1,1,0,0,0,0,0,0,0,0,0.0,0,0,4188.9751,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,2021.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,36,20,0.48,0,1,0,1,1,1,0,-28066.3425,0,-100853.9718,-100853.9718,0.0,307102.9882,0,626053.7114,0.0,3.3351128968799992,3.3351128968799992,0.0,6.2250007199679995,6.2250007199679995,2041.0,2030.0,15.3001,9.3651,23.6013,44.0519,33948.9466,100534.8423,1221.7319,110338.4495,2699.2711,17309.5375,100534.8423,0,24691.7434,7701.3354
37,37,25,0.48,0,1,0,1,1,1,0,-28066.3425,0,-89102.1145,-89102.1145,0.0,307102.9882,0,626053.7114,0.0,4.499865104607999,4.499865104607999,0.0,6.2250007199679995,6.2250007199679995,2041.0,2033.0,15.3001,10.8436,23.6013,32.6494,33948.9466,100534.8423,1221.7319,110338.4495,2699.2711,23707.9937,100534.8423,0,40926.8488,5786.1273
