company,trabajo,Arena,riesgo,Escenario,estado,variable, valores ,Valor_MUSD
ECP,WO,C,BR,WO_BR,Capex,Capex_Total,134000000,134
ECP,WO,C,BR,WO_BR,Capex,WO,116281926,11.63
ECP,WO,C,BR,WO_BR,Capex,Perforacion_productores,0,0
ECP,WO,C,BR,WO_BR,Capex,Perforacion_Inyectores,0,0
ECP,WO,C,BR,WO_BR,Capex,Facilidades,17699532,1.77
ECP,WO,C,BR,WO_BR,Capex,VPN_Portafolio,62753.513,62.753513
ECP,WO,C,BR,WO_BR,Opex,Opex_Total,11284636,11
ECP,WO,C,BR,WO_BR,Opex,Oil,22852,0
ECP,WO,C,BR,WO_BR,Opex,Fluido,7044637,0.7
ECP,WO,C,BR,WO_BR,Opex,Gas,891571,0.09
ECP,WO,C,BR,WO_BR,Opex,inyeccion_agua,3325576,0.33
ECP,WO,C,BR,WO_BR,Opex,pozo_prod,0,0
ECP,WO,C,BR,WO_BR,Opex,Pozo_iny,0,0
ECP,Perf,C,BR,Perforacion_BR,Capex,Capex_Total,124000000,124
ECP,Perf,C,BR,Perforacion_BR,Capex,WO,0,0
ECP,Perf,C,BR,Perforacion_BR,Capex,Perforacion_productores,82366339,8.24
ECP,Perf,C,BR,Perforacion_BR,Capex,Perforacion_Inyectores,29288319,2.93
ECP,Perf,C,BR,Perforacion_BR,Capex,Facilidades,12433613,1.24
ECP,Perf,C,BR,Perforacion_BR,Capex,VPN_Portafolio,34844.512,34.844512
ECP,Perf,C,BR,Perforacion_BR,Opex,Opex_Total,90891535,91
ECP,Perf,C,BR,Perforacion_BR,Opex,Oil,36214,0
ECP,Perf,C,BR,Perforacion_BR,Opex,Fluido,12277837,1.23
ECP,Perf,C,BR,Perforacion_BR,Opex,Gas,1659722,0.17
ECP,Perf,C,BR,Perforacion_BR,Opex,inyeccion_agua,7511016,0.75
ECP,Perf,C,BR,Perforacion_BR,Opex,pozo_prod,58657231,5.87
ECP,Perf,C,BR,Perforacion_BR,Opex,Pozo_iny,10749516,1.07
ECP,WO,C,AR,WO_AR,Capex,Capex_Total,95000000,95
ECP,WO,C,AR,WO_AR,Capex,WO,81595556,8.16
ECP,WO,C,AR,WO_AR,Capex,Perforacion_productores,0,0
ECP,WO,C,AR,WO_AR,Capex,Perforacion_Inyectores,0,0
ECP,WO,C,AR,WO_AR,Capex,Facilidades,13180440,1.32
ECP,WO,C,AR,WO_AR,Capex,VPN_Portafolio,77147.613,77.147613
ECP,WO,C,AR,WO_AR,Opex,Opex_Total,6506705,7
ECP,WO,C,AR,WO_AR,Opex,Oil,17848,0
ECP,WO,C,AR,WO_AR,Opex,Fluido,3468367,0.35
ECP,WO,C,AR,WO_AR,Opex,Gas,696332,0.07
ECP,WO,C,AR,WO_AR,Opex,inyeccion_agua,2324159,0.23
ECP,WO,C,AR,WO_AR,Opex,pozo_prod,0,0
ECP,WO,C,AR,WO_AR,Opex,Pozo_iny,0,0
ECP,Perf,C,AR,Perforacion_AR,Capex,Capex_Total,370000000,370
ECP,Perf,C,AR,Perforacion_AR,Capex,WO,0,0
ECP,Perf,C,AR,Perforacion_AR,Capex,Perforacion_productores,245812044,24.58
ECP,Perf,C,AR,Perforacion_AR,Capex,Perforacion_Inyectores,108952546,10.9
ECP,Perf,C,AR,Perforacion_AR,Capex,Facilidades,15665249,1.57
ECP,Perf,C,AR,Perforacion_AR,Capex,VPN_Portafolio,-5824.412,-5.824412
ECP,Perf,C,AR,Perforacion_AR,Opex,Opex_Total,175833674,176
ECP,Perf,C,AR,Perforacion_AR,Opex,Oil,16061,0
ECP,Perf,C,AR,Perforacion_AR,Opex,Fluido,1045140,0.1
ECP,Perf,C,AR,Perforacion_AR,Opex,Gas,557894,0.06
ECP,Perf,C,AR,Perforacion_AR,Opex,inyeccion_agua,801479,0.08
ECP,Perf,C,AR,Perforacion_AR,Opex,pozo_prod,140573300,14.06
ECP,Perf,C,AR,Perforacion_AR,Opex,Pozo_iny,32839800,3.28
ECP,CEOR,C,BR,CEOR,Capex,Capex_Total,316000000,316
ECP,CEOR,C,BR,CEOR,Capex,WO,201471760,20.15
ECP,CEOR,C,BR,CEOR,Capex,Perforacion_productores,0,0
ECP,CEOR,C,BR,CEOR,Capex,Perforacion_Inyectores,47456310,4.75
ECP,CEOR,C,BR,CEOR,Capex,Facilidades,67481802,6.75
ECP,CEOR,C,BR,CEOR,Capex,VPN_Portafolio,203916.63,203.91663
ECP,CEOR,C,BR,CEOR,Opex,Opex_Total,485956496,486
ECP,CEOR,C,BR,CEOR,Opex,Oil,2370776,0.24
ECP,CEOR,C,BR,CEOR,Opex,Fluido,23642211,2.36
ECP,CEOR,C,BR,CEOR,Opex,Gas,5532110,0.55
ECP,CEOR,C,BR,CEOR,Opex,inyeccion_agua,400969634,40.1
ECP,CEOR,C,BR,CEOR,Opex,pozo_prod,0,0
ECP,CEOR,C,BR,CEOR,Opex,Pozo_iny,53441765,5.34
ECP,I,AYB,BR,E1,Capex,Capex_Total,354484433,354
ECP,I,AYB,BR,E1,Capex,WO,0,0
ECP,I,AYB,BR,E1,Capex,Perforacion_productores,121514567,12.15
ECP,I,AYB,BR,E1,Capex,Perforacion_Inyectores,101613154,10.16
ECP,I,AYB,BR,E1,Capex,Facilidades,131356711,13.14
ECP,I,AYB,BR,E1,Capex,VPN_Portafolio,164177.258,164.177258
ECP,I,AYB,BR,E1,Opex,Opex_Total,729212872,729
ECP,I,AYB,BR,E1,Opex,Oil,632951,0.06
ECP,I,AYB,BR,E1,Opex,Fluido,101471360,10.15
ECP,I,AYB,BR,E1,Opex,Gas,0,0
